Name	AppID	Genre	Tags	Votes_total	Positive_rating	Played_time (h)	Time_to_finish (h)	Time_to_complete (h)	100% Completed	Developer	Publisher	Release date	Removed game	Minimum requirements	Recommended requirements
PAYDAY 2	218620	Action, RPG	Co-op, Action, FPS, Heist, Looter Shooter, Multiplayer, Online Co-Op, Stealth, Crime, Shooter, Team-Based, First-Person, Great Soundtrack, Gun Customization, Tactical, PvE, Strategy, Singleplayer, Funny, Simulation	609423	89.6	2.5	25	465	NA	OVERKILL - a Starbreeze Studio.	Starbreeze Publishing AB	13-Aug-2013	NA	OS: Windows 7Processor: 2 GHz Intel Dual Core ProcessorMemory: 4 GB RAMGraphics: Nvidia &amp; AMD (512MB VRAM)DirectX: Version 9.0cStorage: 83 GB available spaceVR Support: SteamVR. Standing or Room Scale 	OS: Windows 10Processor: 2.3 GHz Intel Quad Core ProcessorMemory: 8 GB RAMGraphics: Nvidia &amp; AMD (1GB VRAM)DirectX: Version 9.0cStorage: 83 GB available spaceVR Support: SteamVR. Standing or Room Scale
Assassin's Creed II	33230	Action, Adventure	Action, Open World, Parkour, Assassin, Adventure, Stealth, Third Person, Historical, Story Rich, Singleplayer, Great Soundtrack, Atmospheric, Conspiracy, Action-Adventure, Multiplayer, Classic, Controller, Alternate History, Sandbox, Sci-fi	40843	89.3	2.4	19	35	NA	Ubisoft Montreal	Ubisoft	04-Mar-2010	NA	\t\t\t\t\tOS: Windows® XP (32-64 bits) \/Windows Vista®(32-64 bits)\/Windows 7® (32-64 bits) *\t\t\t\t\t\tProcessor: Intel Core® 2 Duo 1.8 GHZ or AMD Athlon X2 64 2.4GHZ\t\t\t\t\t\tMemory: 1.5 GB  Windows® XP \/ 2 GB Windows Vista® - Windows 7® \t\t\t\t\t\tGraphics: 256 MB DirectX®  9.0–compliant card with Shader Model 3.0 or higher (see supported list)\t\t\t\t\t\tDirectX®: DirectX 9.0\t\t\t\t\t\tHard Drive: 8 GB free space\t\t\t\t\t\tSound: DirectX 9.0 –compliant sound card \t\t\t\t\t\tSupported Peripherals: Keyboard, mouse, optional controller\t\t\t\t\t* This product does not support Windows® 98\/ME\/2000\/NT\t\t\t\t\tSupported Video Cards at Time of Release: ATI® RADEON®  X1950, HD 2000\/3000\/4000\/5000 series NVIDIA GeForce® 7\/8\/9\/100\/200 series 	\t\t\t\t\tOS: Windows® XP (32-64 bits) \/Windows Vista®(32-64 bits)\/Windows 7® (32-64 bits) *\t\t\t\t\t\tProcessor: Intel Core® 2 Duo E6700 2.6 GHz or AMD Athlon 64 X2 6000+ or better\t\t\t\t\t\tMemory: 1.5 GB  Windows® XP \/ 2 GB Windows Vista® - Windows 7®\t\t\t\t\t\tGraphics: GeForce 8800 GT or ATI Radeon HD 4700  or better\t\t\t\t\t\tDirectX®: DirectX 9.0\t\t\t\t\t\tHard Drive: 8 GB free space\t\t\t\t\t\tSound: 5.1 sound card\t\t\t\t\t\tSupported Peripherals: Keyboard, mouse, joystick optional (Xbox 360® Controller for Windows recommended)\t\t\t\t\t
Battlerite	504370	Action, Free to Play	PvP, Multiplayer, MOBA, Competitive, Action, Free to Play, Arena Shooter, Fast-Paced, Team-Based, Fighting, Top-Down, Early Access, Strategy, e-sports, Difficult, Great Soundtrack, RPG, Top-Down Shooter, Hack and Slash, Atmospheric	58629	84.4	1.5	115	0	NA	Stunlock Studios	Stunlock Studios	08-Nov-2017	NA	OS: Windows XP or newerProcessor: Dual Core from Intel or AMD at 2.8 GHzMemory: 4 GB RAMGraphics: Intel HD 3000DirectX: Version 9.0cNetwork: Broadband Internet connectionStorage: 3000 MB available spaceSound Card: DirectX Compatible	NA
Warframe	230410	Action, Free to Play, RPG	Free to Play, Action RPG, Looter Shooter, RPG, Action, Third-Person Shooter, Third Person, Character Customization, Massively Multiplayer, Online Co-Op, Co-op, Lore-Rich, PvE, Sci-fi, Singleplayer, Space, Hack and Slash, Shooter, Ninja, Parkour	524890	86.6	1.5	107	1413	NA	Digital Extremes	Digital Extremes	25-Mar-2013	NA	OS:Windows 7 64-Bit (32-bit not supported)\tProcessor:Intel Core 2 Duo e6400 or AMD Athlon x64 4000+        Video:DirectX 11+ capable Graphics Card\tMemory:4 GB RAM\tStorage:35 GB available HD space \tInternet:Broadband Internet Connection RequiredNote: There is no Mac or Linux client currently available.	NA
Total War: WARHAMMER	364360	Action, Strategy	Strategy, Fantasy, RTS, War, Turn-Based Strategy, Games Workshop, Grand Strategy, Multiplayer, Tactical, Dark Fantasy, Action, Singleplayer, Turn-Based, Atmospheric, Co-op, Story Rich, Open World, RPG, Gore, Warhammer 40K	50235	78	1.4	34	166	NA	CREATIVE ASSEMBLY, Feral Interactive (Linux), Feral Interactive (Mac)	SEGA, Feral Interactive (Linux), Feral Interactive (Mac)	24-May-2016	NA	OS: Windows 7 64BitProcessor: Intel® Core™ 2 Duo 3.0GhzMemory: 3 GB RAMGraphics: (DirectX 11) AMD Radeon HD 5770 1024MB | NVIDIA GTS 450 1024MB | Intel HD4000 @720PDirectX: Version 11Storage: 35 GB available spaceAdditional Notes: *PC Integrated graphics chipsets require 4 GB RAM, e.g. Intel HD series. 	OS: Windows 7\/8.1\/10 64BitProcessor: Intel® Core™ i5-4570 3.20GHzMemory: 8 GB RAMGraphics: (DirectX 11) AMD Radeon R9 270X 2048MB | NVIDIA GeForce GTX 760 2048MB @1080PDirectX: Version 11Storage: 35 GB available space
Age of Empires III: Definitive Edition	933110	Strategy	Strategy, RTS, Base-Building, Multiplayer, Military, Historical, City Builder, War, Singleplayer, Resource Management, 3D, PvP, Combat, Story Rich, Level Editor, Moddable, Online Co-Op, Co-op, Medieval, Classic	31218	81.2	1.3	19	52	NA	Tantalus Media, Forgotten Empires	Xbox Game Studios	15-Oct-2020	NA	Requires a 64-bit processor and operating systemOS: Windows 10 version 18362.0 or higherProcessor: Intel i3-2105 @ 3.1GHz or AMD Phenom II X4 973 with an average CPU Passmark score of 1830 or betterMemory: 8 GB RAMGraphics: GeForce GT 430, Radeon HD 5570, or Intel HD 4400 with an average Passmark G3D Mark of 570 or better @720pDirectX: Version 11Network: Broadband Internet connectionStorage: 42 GB available spaceAdditional Notes: 2 GB VRAM 	Requires a 64-bit processor and operating systemOS: Windows 10 version 18362.0 or higherProcessor: Intel i5-3300 @ 3.0GHz or AMD FX-8350 or equivalent with an average CPU Passmark score of 4100 or betterMemory: 16 GB RAMGraphics: GeForce GTX 980 or Radeon R9 Fury or equivalent with an average Passmark G3D Mark of 9500 or better @1080pDirectX: Version 11Network: Broadband Internet connectionStorage: 42 GB available spaceAdditional Notes: 4 GB VRAM
Outlast	238320	Action, Adventure, Indie	Horror, First-Person, Survival Horror, Atmospheric, Gore, Psychological Horror, Survival, Singleplayer, Adventure, Action, Dark, Indie, Stealth, Nudity, Parkour, Multiplayer, Difficult, Walking Simulator, 3D Vision, Sci-fi	95951	96.4	0.8	5	10	NA	Red Barrels	Red Barrels	04-Sep-2013	NA	OS: Windows XP \/ Vista \/ 7 \/ 8 - 64 bits *Processor: 2.2 GHz Dual Core CPUMemory: 2 GB RAMGraphics: 512 MB NVIDIA GeForce 9800GTX \/ ATI Radeon HD 3xxx seriesDirectX: Version 9.0cNetwork: Broadband Internet connectionStorage: 5 GB available spaceSound Card: DirectX CompatibleAdditional Notes: * 32 bits systems are not officially supported, but should work if configured to provide 3Gb of user-mode address space. See http:\/\/msdn.microsoft.com\/en-us\/windows\/bb613473 or http:\/\/steamcommunity.com\/sharedfiles\/filedetails\/?id=175801311 	OS: Windows Vista \/ 7 \/ 8 - 64 bitsProcessor: 2.8 GHz Quad Core CPUMemory: 3 GB RAMGraphics: 1GB NVIDIA GTX 460 \/ ATI Radeon HD 6850 or betterDirectX: Version 9.0cNetwork: Broadband Internet connectionStorage: 5 GB available spaceSound Card: DirectX Compatible
Ravenous Devils	1615290	Casual, Indie, Simulation	Management, Cooking, Villain Protagonist, Gore, Crime, Resource Management, Horror, Dark Comedy, Time Management, Clicker, Violent, Economy, Farming Sim, Simulation, Singleplayer, Dark Humor, 2.5D, Controller, Relaxing, Casual	5330	93.2	0.8	5	6	NA	Bad Vices Games	Bad Vices Games	29-Apr-2022	NA	Requires a 64-bit processor and operating systemOS: Windows 7 64 bit or higherProcessor: I3-4130 3,40 GhZMemory: 4 GB RAMGraphics: Nvidia GeForce 750DirectX: Version 11Storage: 2 GB available spaceAdditional Notes: Mac is unsupported at the moment 	Requires a 64-bit processor and operating systemOS: Windows 7 64 bit or higherProcessor: Intel i7-6700HQ CPU@2.60GHzMemory: 8 GB RAMGraphics: Nvidia GeForce 1050Storage: 2 GB available space
Leviathan: Warships	202270	Action, Strategy	Strategy, Action, Turn-Based Strategy, Naval, Co-op, Turn-Based, Singleplayer, Multiplayer, Tactical	398	49.5	0.8	5	20	NA	Pieces Interactive	Paradox Interactive	NA	X	NA	NA
Don't Starve Together	322330	Adventure, Indie, Simulation	Exploration, Open World Survival Craft, Survival, Sandbox, Crafting, Rogue-lite, Multiplayer, Difficult, Open World, 2D, Horror, Adventure, Strategy, Atmospheric, Survival Horror, Funny, Action, Simulation, Online Co-Op, PvP	373841	96.1	0.7	35	290	NA	Klei Entertainment	Klei Entertainment	21-Apr-2016	NA	OS: Windows Vista\/Windows 7\/Windows 8Processor: 1.7+ GHz or betterMemory: 1 GB RAMGraphics: Radeon HD5450 or better; 256 MB or higherDirectX: Version 9.0cNetwork: Broadband Internet connectionStorage: 3 GB available spaceSound Card: 100% DirectX9.0c compatible sound card and drivers	NA
