Name	AppID	Genre	Tags	Votes_total	Positive_rating	Played_time (h)	Time_to_finish (h)	Time_to_complete (h)	100% Completed	Developer	Publisher	Release date	Removed game	Minimum requirements	Recommended requirements
Batman™: Arkham Origins	209000	Action, Adventure	Action, Open World, Superhero, Adventure, Third Person, Stealth, Singleplayer, Multiplayer, Fighting, Beat 'em up, Comic Book, Detective, Story Rich, Atmospheric, Action-Adventure, Controller, 3D Vision, Sandbox, Third-Person Shooter, RPG	42318	88.2	NA	12	40	NA	WB Games Montreal, Splash Damage	Warner Bros. Interactive Entertainment	24-Oct-2013	NA	OS:32-bit:  Vista, Win 7, Win 8\tProcessor:Intel Core 2 Duo, 2.4 GHz \/ AMD Athlon X2, 2.8 GHz\tMemory:2 GB RAM\tGraphics:NVIDIA GeForce 8800 GTS \/ AMD Radeon HD 3850 or better with 512 MB of VRAM\tDirectX®:9.0c        Hard Drive Space:20 GB        Other Requirements:Broadband Internet connection        Additional Notes:Windows XP and DirectX® 9.0b and below not supported 	OS:64-bit: Vista, Win 7, Win 8\tProcessor:Intel Core i5-750, 2.67 GHz \/ AMD Phenom II X4 965, 3.4 GHz\tMemory:4 GB RAM\tGraphics:NVIDIA GeForce GTX 560 \/ AMD Radeon HD 6950 or better with 768 MB+ of VRAM (DirectX 11 Compatible)\tDirectX®:11        Hard Drive Space:20 GB        Other Requirements:Broadband Internet connection        Additional Notes:Windows XP and DirectX® 9.0b and below not supported
Broforce	274190	Action, Adventure, Casual, Indie	America, Action, Pixel Graphics, Co-op, 2D, Local Co-Op, Platformer, Multiplayer, Indie, Shooter, Side Scroller, Funny, Local Multiplayer, Retro, Gore, Comedy, Adventure, Arcade, Casual, Epic	50872	97.1	NA	7	16	NA	Free Lives	Devolver Digital	15-Oct-2015	NA	Requires a 64-bit processor and operating systemOS: Windows Vista or LaterProcessor: Intel Core™ Duo or fasterMemory: 4 GB RAMGraphics: OpenGL 3.0 compliant video cardStorage: 1300 MB available spaceAdditional Notes: Gamepad highly recommended. 	Requires a 64-bit processor and operating system
Cook, Serve, Delicious!	247020	Action, Indie, Simulation, Strategy	Time Management, Typing, Casual, Management, Difficult, Arcade, Cooking, 2D, Strategy, Funny, Cute, Action, Family Friendly, Simulation, Comedy, Co-op, Local Co-Op, Local Multiplayer, 4 Player Local, Singleplayer	5308	94.7	NA	18	38	NA	Vertigo Gaming Inc.	Vertigo Gaming Inc.	08-Oct-2013	NA	OS: Windows Vista, 7\/8\/10Memory: 2 GB RAMGraphics: 128MB Graphics card or greaterStorage: 150 MB available space	NA
DiRT 3 Complete Edition	321040	Racing, Simulation, Sports	Racing, Simulation, Multiplayer, Sports, Driving, Offroad, Controller, Split Screen, Singleplayer, Great Soundtrack, Open World, Arcade, Local Co-Op, Action, First-Person, Realistic, Benchmark	14945	91.2	NA	15	38	NA	Codemasters Racing Studio, Feral Interactive (Mac)	Codemasters, Feral Interactive (Mac)	NA	X	NA	NA
ENDLESS™ Space - Definitive Edition	208140	Strategy	Strategy, 4X, Space, Sci-fi, Turn-Based Strategy, Turn-Based, Multiplayer, Singleplayer, Indie, Exploration, Great Soundtrack, Futuristic, Diplomacy, Grand Strategy, Aliens, Simulation, Atmospheric, Replay Value, Management, Sandbox	9038	80.3	NA	16	107	NA	AMPLITUDE Studios	SEGA	04-Jul-2012	NA	OS:Windows XP SP3 \/ Vista \/ 7\tProcessor:Core 2 Duo Processor or Equivalent \tMemory:2 GB RAM\tGraphics:256 MB DX9 Compliant \tDirectX®:9.0c\tHard Drive:2 GB HD space\tSound:DirectX 9 Compatible Audio 	OS:Windows XP SP3 \/ Vista \/ 7\tProcessor:Core i5\/i7 or equivalent \tMemory:2 GB RAM\tGraphics:512 MB DX9 Compliant with PS 3.0 support\tDirectX®:9.0c\tHard Drive:2 GB HD space\tSound:DirectX 9 Compatible Audio
Galactic Civilizations II: Ultimate Edition	202200	Indie, Strategy	4X, Grand Strategy, Turn-Based, Turn-Based Strategy, 3D, Strategy, Top-Down, Base-Building, Sandbox, Sci-fi, Diplomacy, Management, Building, Moddable, Space, Artificial Intelligence, War, Aliens, Futuristic, Combat	1516	76.5	NA	20	0	NA	Stardock Entertainment	Stardock Entertainment	02-Dec-2011	NA	Operating system: Windows® XP SP3 \/ Vista™ SP2 \/ Windows® 7 \/ 8.1 \/ 10\t\t\t\t\t\t\tProcessor: Intel® Pentium® III 1 GHz (or AMD equivalent)\t\t\t\t\t\t\tMemory: 512 MB (1 GB for Windows 7 \/ Vista)\t\t\t\t\t\t\tHard disk space:  2 GB\t\t\t\t\t\t\tVideo:64 MB DirectX 9.0c Compatible Video Card\t\t\t\t\t\t\tSound: DirectX®  9.0c Compatible Sound Card\t\t\t\t\t\t\tDirectX®: DirectX® 9.0c\t\t\t\t\t\t\tOther Requirements: Broadband Internet connection, also to activate this game you must create a Stardock account while launching the game on Steam.	NA
Guns of Icarus Online	209080	Action, Adventure, Indie, Simulation	Steampunk, Team-Based, Multiplayer, Co-op, Action, Tactical, Indie, Competitive, Simulation, Adventure, Flight, FPS, Online Co-Op, Strategy, PvP, First-Person, Shooter, Class-Based, Kickstarter, Massively Multiplayer	14665	90.2	NA	7	0	NA	Muse Games	Muse Games	29-Oct-2012	NA	OS:Windows 7\tProcessor:2 GHz processor\tMemory:2 GB RAM\tGraphics:Intel HD3000, Nvidia GeForce GT8600 or equivalent\tDirectX®:dx90c\tHard Drive:3 GB HD space\tOther Requirements:Broadband Internet connection	NA
H1Z1: Test Server	439700	Massively Multiplayer	Massively Multiplayer, Survival, Free to Play, Multiplayer, Shooter, Zombies, Open World, Action, FPS, Adventure, Battle Royale, Co-op, PvP, Beat 'em up, Third-Person Shooter, Gaming, Gore, Atmospheric, 3D Vision, Singleplayer	2516	52.5	NA	NA	NA	NA	Daybreak Game Company	Daybreak Game Company	24-Feb-2016	NA	OS: Windows 7 SP1 64 bitProcessor: Intel i3 Dual-Core with Hyper-Threading (required)Memory: 4 GB RAMGraphics: nVidia GeForce GTX 275 series or higherDirectX: Version 10Network: Broadband Internet connectionStorage: 20 GB available spaceSound Card: DirectX Compatible Sound Card 	OS: Windows 7 SP1 64 bitProcessor: Intel i5 Quad Core or higher \/ AMD Phenom II X6 or higherMemory: 8 GB RAMGraphics: nVidia GeForce GTX 560 series or higher \/ AMD HD 6870 or higherDirectX: Version 10Network: Broadband Internet connectionStorage: 20 GB available spaceSound Card: DirectX Compatible Sound Card
INK	385710	Action, Adventure, Indie	Indie, Platformer, Action, Colorful, Adventure, Difficult, 2D, Singleplayer, GameMaker, Puzzle-Platformer, Great Soundtrack, Minimalist	1566	81.4	NA	2	9	NA	ZackBellGames	ZackBellGames	05-Aug-2015	NA	OS: Windows 7 or LaterProcessor: 2 GHzMemory: 1 GB RAMGraphics: 512 MB VRAMDirectX: Version 9.0cStorage: 30 MB available spaceSound Card: YesAdditional Notes: The game runs at locked 30 FPS. 	OS: Windows 7 or LaterProcessor: 3 GHzMemory: 2 GB RAMGraphics: 1 GB VRAMDirectX: Version 11Storage: 60 MB available spaceSound Card: YesAdditional Notes: The game runs at locked 30 FPS.
Just Survive Test Server	362300	Massively Multiplayer	Massively Multiplayer, Zombies, Survival, Open World	393	70	NA	NA	NA	NA	Daybreak Game Company	Daybreak Game Company	16-Apr-2015	X	OS: Windows 7 64 bitProcessor: Intel i3 Dual-Core with Hyper-Threading (required)Memory: 4 GB RAMGraphics: nVidia GeForce GTX 275 series or higherDirectX: Version 10Network: Broadband Internet connectionStorage: 20 GB available spaceSound Card: DirectX Compatible Sound Card 	OS: Windows 7 64 bitProcessor: Intel i5 Quad Core or higher \/ AMD Phenom II X6 or higherMemory: 8 GB RAMGraphics: nVidia GeForce GTX 560 series or higher \/ AMD HD 6870 or higherDirectX: Version 10Network: Broadband Internet connectionStorage: 20 GB available spaceSound Card: DirectX compatible Sound Card
Lara Croft and the Temple of Osiris	289690	Action, Adventure	Adventure, Action, Co-op, Local Co-Op, Multiplayer, Puzzle, Female Protagonist, Online Co-Op, Isometric, Singleplayer, 4 Player Local, RPG, Top-Down, Platformer, Twin Stick Shooter, Hack and Slash, Controller, Third Person, Co-op Campaign, Local Multiplayer	3763	66.5	NA	5	13	NA	Crystal Dynamics	Square Enix	08-Dec-2014	NA	OS: Windows Vista, Windows 7, Windows 8Processor: 2.0 GHz high end Dual Core CPUMemory: 4 GB RAMGraphics: AMD Radeon HD 6000 series or better \/ NVidia GeForce 500 series or betterDirectX: Version 11Storage: 5 GB available space 	OS: Windows Vista, Windows 7, Windows 8Processor: Quad core CPU: AMD Phenom II X4 955 or Intel Core i5-750Memory: 8 GB RAMGraphics: AMD Radeon HD R7\/ NVidia GTX 650DirectX: Version 11Storage: 5 GB available space
Life is Feudal: MMO	700030	Action, Adventure, Massively Multiplayer, RPG, Simulation, Early Access	Massively Multiplayer, Medieval, Open World, Survival, RPG, Sandbox, Open World Survival Craft, Crafting, Adventure, Simulation, Action, MMORPG, Base-Building, Early Access, Multiplayer, Building, Free to Play, Violent, PvP, First-Person	6533	42.9	NA	Sin registro de tiempo	Sin registro de tiempo	NA	Bitbox Ltd.	Bitbox Ltd.	12-Jan-2018	X	Requires a 64-bit processor and operating systemOS: 64-bit - Windows 7 (SP1), Windows 8.1, Windows 10Processor: Intel - Core i5 2.5 GHz, AMD - Phenom II X4 2.5 GHzMemory: 8 GB RAMGraphics: NVIDIA - GeForce® GTX 660, AMD - Radeon™ HD 6970DirectX: Version 11Network: Broadband Internet connectionStorage: 50 GB available space 	Requires a 64-bit processor and operating systemOS: 64-bit - Windows 7 (SP1), Windows 8.1, Windows 10Processor: Intel - Core i7 3.0 GHzMemory: 16 GB RAMGraphics: NVIDIA - GeForce® GTX 980, AMD - Radeon™ RX 480DirectX: Version 12Network: Broadband Internet connectionStorage: 90 GB available space
Outland	305050	Action, Adventure, Indie	Platformer, Action, Metroidvania, Co-op, 2D, Adventure, Indie, Bullet Hell, Multiplayer, Controller, Singleplayer, Great Soundtrack, Difficult, Online Co-Op, Arcade, Atmospheric	3849	80.9	NA	7	12	NA	Housemarque	Housemarque	29-Sep-2014	NA	OS: Windows XPProcessor: Intel Core 2 @ 2GHz \/ AMD Athlon 64 X2 4200+Memory: 2 GB RAMGraphics: 512MB Nvidia GeForce GTX 460\/550, AMD Radeon HD 5770DirectX: Version 9.0cStorage: 650 MB available spaceSound Card: DirectX Compatible 	OS: Windows 7Processor: Intel\/AMD Quad Core @ 2.3GHzMemory: 4 GB RAMGraphics: 1GB Nvidia GeForce GTX 560\/640+, AMD Radeon HD 6850+DirectX: Version 11Network: Broadband Internet connectionStorage: 650 MB available spaceSound Card: DirectX Compatible
Owlboy	115800	Action, Adventure, Indie	Pixel Graphics, Adventure, Indie, Great Soundtrack, Metroidvania, Platformer, 2D, Story Rich, Action, Atmospheric, Fantasy, Puzzle-Platformer, Singleplayer, Retro, Action-Adventure, Flight, Funny, Cute, Open World, RPG	5357	84.6	NA	8	13	NA	D-Pad Studio	D-Pad Studio	01-Nov-2016	NA	OS: Windows 7\/8\/10\/VistaProcessor: Dual CoreMemory: 1 GB RAMGraphics: Pixelshader 3.0 enabled graphics card(DirectX 10 capable graphics card)DirectX: Version 9.0cStorage: 600 MB available space	NA
Portal 2	620	Action, Adventure	Platformer, Puzzle, Dark Humor, First-Person, Story Rich, Puzzle-Platformer, Funny, Female Protagonist, 3D Platformer, Action-Adventure, Action, FPS, Co-op, Physics, Level Editor, Sci-fi, Science, Atmospheric, Comedy, Adventure	325084	98.8	NA	9	21	NA	Valve	Valve	18-Apr-2011	NA	OS: Windows 7 \/ Vista \/ XPProcessor: 3.0 GHz P4, Dual Core 2.0 (or higher) or AMD64X2 (or higher)Memory: 2 GB RAMGraphics: Video card must be 128 MB or more and with support for Pixel Shader 2.0b (ATI Radeon X800 or higher \/ NVIDIA GeForce 7600 or higher \/ Intel HD Graphics 2000 or higher).DirectX: Version 9.0cStorage: 8 GB available spaceSound Card: DirectX 9.0c compatible	NA
Realm Royale - Test Server	878760		NA	0	NA	NA	NA	NA	NA			NA	NA	NA	NA
Resident Evil 3	952060	Action	Action, Zombies, Horror, Female Protagonist, Multiplayer, Survival Horror, Remake, Singleplayer, Third Person, Gore, Co-op, Third-Person Shooter, Violent, Story Rich, Atmospheric, Adventure, Classic, Sexual Content, Great Soundtrack, Difficult	63505	79	NA	6	20	NA	CAPCOM Co., Ltd.	CAPCOM Co., Ltd.	02-Apr-2020	NA	Requires a 64-bit processor and operating systemOS: WINDOWS® 10 (64-BIT Required)Processor: Intel® Core™ i5-4460 or AMD FX™-6300 or betterMemory: 8 GB RAMGraphics: NVIDIA® GeForce® GTX 960 or AMD Radeon™ RX 460DirectX: Version 12Network: Broadband Internet connectionStorage: 45 GB available spaceAdditional Notes: Anticipated performance at these specifications is 1080p\/30FPS for Resident Evil 3 and 720p\/30FPS for Resident Evil Resistance. If you don't have enough graphics memory to run the game at your selected texture quality, you must go to Options &gt; Graphics and lower the texture quality or shadow quality, or decrease the resolution. An internet connection is required for product activation. In addition, an internet connection is required at all times when playing Resident Evil Resistance. (Network connectivity uses Steam® developed by Valve® Corporation.) 	Requires a 64-bit processor and operating systemOS: WINDOWS® 10 (64-BIT Required)Processor: Intel® Core™ i7-3770 or AMD FX™-9590 or betterMemory: 8 GB RAMGraphics: NVIDIA® GeForce® GTX 1060 or AMD Radeon™ RX 480 with 3GB VRAMDirectX: Version 12Network: Broadband Internet connectionStorage: 45 GB available spaceAdditional Notes: Anticipated performance at these specifications is 1080p\/60FPS. An internet connection is required for product activation. In addition, an internet connection is required at all times when playing Resident Evil Resistance. (Network connectivity uses Steam® developed by Valve® Corporation.)
RESIDENT EVIL RESISTANCE	952070	Action	Action, Multiplayer, Zombies, Survival Horror, Gore, Online Co-Op, Horror, Co-op, Strategy	7138	39	NA	Sin registro de tiempo	Sin registro de tiempo	NA	CAPCOM Co., Ltd., NeoBards Entertainment Ltd.	CAPCOM Co., Ltd.	NA	NA	OS: WINDOWS® 7, 8.1, 10 (64-BIT Required)Processor: Intel® Core™ i5-4460 or AMD FX™-6300 or betterMemory: 8 GB RAMGraphics: NVIDIA® GeForce® GTX 760 or AMD Radeon™ R7 260x with 2GB Video RAMDirectX: Version 11Network: Broadband Internet connectionStorage: 45 GB available spaceAdditional Notes: Anticipated performance at these specifications is 1080p\/30FPS for Resident Evil 3 and 720p\/30FPS for Resident Evil Resistance. If you don't have enough graphics memory to run the game at your selected texture quality, you must go to Options &gt; Graphics and lower the texture quality or shadow quality, or decrease the resolution. An internet connection is required for product activation. In addition, an internet connection is required at all times when playing Resident Evil Resistance. (Network connectivity uses Steam® developed by Valve® Corporation.) 	OS: WINDOWS® 10 (64-BIT Required)Processor: Intel® Core™ i7-3770 or AMD FX™-9590 or betterMemory: 8 GB RAMGraphics: NVIDIA® GeForce® GTX 1060 or AMD Radeon™ RX 480 with 3GB VRAMDirectX: Version 12Network: Broadband Internet connectionStorage: 45 GB available spaceAdditional Notes: Anticipated performance at these specifications is 1080p\/60FPS. An internet connection is required for product activation. In addition, an internet connection is required at all times when playing Resident Evil Resistance. (Network connectivity uses Steam® developed by Valve® Corporation.)
Rust - Staging Branch	700580		NA	0	NA	NA	NA	NA	NA			NA	NA	NA	NA
Sid Meier's Civilization III: Complete	3910	Strategy	Strategy, Turn-Based Strategy, Turn-Based, Classic, 4X, Historical, Singleplayer, Multiplayer, Replay Value, Simulation, Military, Grand Strategy, Exploration, Addictive, City Builder, Old School, War, Isometric, Diplomacy, Alternate History	5939	89.2	NA	23	108	NA	Firaxis Games	2K	25-Oct-2006	NA		 Windows® 2000\/XP (only), Pentium® II 400 MHz, 128 MB RAM, 1.7 GB Free HDD space, Windows® 2000\/XP compatible video card*, Windows® 2000\/XP compatible sound card*, DirectX® version 9.0b (included) or higher\t\t\t\t\t* Indicates device should be compatible with DirectX® version 9.0b or higher.
SMITE - Public Test	858460		NA	0	NA	NA	3	15316	NA			NA	NA	NA	NA
Survarium	355840	Action, Free to Play, Massively Multiplayer, RPG, Early Access	Free to Play, Survival, Multiplayer, FPS, Post-apocalyptic, Shooter, Action, Open World, First-Person, PvP, Early Access, Co-op, Zombies, Atmospheric, Massively Multiplayer, Crafting, Adventure, RPG, Exploration, Singleplayer	25955	53.9	NA	Sin registro de tiempo	Sin registro de tiempo	NA	Vostok Games	Vostok Games	02-Apr-2015	X	Requires a 64-bit processor and operating systemOS: Windows 7 (Service Pack 1), Windows 8.1 (64 bit)Processor: Intel Core i3 \/ AMD Phenom II X4 \/ AMD FX \/ AMD RyzenMemory: 4 GB RAMGraphics: NVIDIA GeForce: GTX 650 \/ GT 1030 or Radeon R7 250XDirectX: Version 10Network: Broadband Internet connectionStorage: 16 GB available spaceAdditional Notes:  	Requires a 64-bit processor and operating systemOS: Windows 10 (64 bit)Processor: Intel Core i5 \/ AMD Phenom II X4 \/ AMD FX \/ AMD RyzenMemory: 6 GB RAMGraphics: NVIDIA GeForce: GTX 960 \/ GTX 1050Ti or AMD Radeon: R9 280X \/ RX 460DirectX: Version 11Network: Broadband Internet connectionStorage: 16 GB available spaceAdditional Notes: 
SYNTHETIK 2	1471410	Action, Indie, Early Access	Early Access, Action Roguelike, Top-Down Shooter, Rogue-lite, Twin Stick Shooter, PvE, Perma Death, Shooter, Tutorial, Rogue-like, Character Customization, 3D, Top-Down, Action, Gun Customization, Colorful, Sci-fi, Tactical, Class-Based, Moddable	1098	80.1	NA	4	0	NA	Flow Fire Games	Flow Fire Games	11-Nov-2021	NA	Requires a 64-bit processor and operating systemOS: Windows 10Processor: i3-6100Memory: 8 GB RAMGraphics: NVIDIA GTX 970DirectX: Version 11Storage: 9 GB available space 	Requires a 64-bit processor and operating systemOS: Windows 10Processor: i7 8700kMemory: 8 GB RAMGraphics: NVIDIA GTX 1660 Super, newer is betterDirectX: Version 11Storage: 9 GB available space
Tomb Raider	203160	Action, Adventure	Adventure, Action, Female Protagonist, Third Person, Singleplayer, Story Rich, Third-Person Shooter, Multiplayer, Exploration, Action-Adventure, Quick-Time Events, Atmospheric, Shooter, Puzzle, Stealth, Cinematic, Platformer, RPG, Reboot, 3D Vision	218749	96.2	NA	11	21	NA	Crystal Dynamics, Eidos-Montréal, Feral Interactive (Mac), Nixxes	Square Enix, Feral Interactive (Mac)	04-Mar-2013	NA	OS:Windows XP Service Pack 3, Windows Vista,7,8 (32bit\/64bit)\tProcessor:Dual core CPU: AMD Athlon64 X2 2.1 Ghz (4050+), Intel Core2 Duo 1.86 Ghz (E6300)\tMemory:1GB Memory (2GB on Vista)\tGraphics:DirectX 9 graphics card with 512Mb Video RAM: AMD Radeon HD 2600 XT, nVidia 8600\tDirectX®:9.0c\tHard Drive:12 GB HD space\tOther Requirements:Broadband Internet connection 	OS:Windows Vista, Windows 7 or Windows 8\tProcessor:Quad core CPU: AMD Phenom II X4 955, Intel Core i5-750\tMemory:4 GB RAM\tGraphics:DirectX 11 graphics card with 1GB Video RAM: AMD Radeon HD 5870, nVidia GTX 480\tDirectX®:11\tHard Drive:12 GB HD space\tOther Requirements:Broadband Internet connection
Total War: SHOGUN 2	34330	Strategy	Strategy, Historical, Turn-Based Strategy, RTS, Grand Strategy, Tactical, Singleplayer, Real Time Tactics, Multiplayer, Diplomacy, Ninja, Military, Turn-Based, Co-op, Great Soundtrack, Medieval, Turn-Based Tactics, Stylized, Moddable, Action	24952	90.7	NA	27	181	NA	CREATIVE ASSEMBLY, Feral Interactive (Mac), Feral Interactive (Linux)	SEGA, Feral Interactive (Mac), Feral Interactive (Linux)	15-Mar-2011	NA	\t\t\t\t\t\t\t\tOS: Windows 7 \/ Vista \/ XP\t\t\t\t\t\t\t\t\tProcessor: 2 GHz Intel Dual Core processor \/ 2.6 GHz Intel Single Core processor, or AMD equivalent (with SSE2)\t\t\t\t\t\t\t\t\tMemory: 1GB RAM (XP), 2GB RAM (Vista \/ Windows7) \t\t\t\t\t\t\t\t\tGraphics: 256 MB DirectX 9.0c compatible card (shader model 3)  \t\t\t\t\t\t\t\t\tDirectX®: DirectX 9.0c\t\t\t\t\t\t\t\t\tHard Drive: 32GB free hard disk space\t\t\t\t\t\t\t\t\tScreen Resolution: 1024x768 minimum\t\t\t\t\t\t\t\t 	\t\t\t\t\t\t\t\tOS: Windows 7 \/ Vista \/ XP\t\t\t\t\t\t\t\t\tProcessor: 2nd Generation Intel Core i5 processor (or greater), or AMD equivalent\t\t\t\t\t\t\t\t\tMemory: 2GB RAM (XP), 4GB RAM (Vista \/ Windows7) \t\t\t\t\t\t\t\t\tGraphics: AMD Radeon HD 5000 and 6000 series graphics card or equivalent DirectX 11 compatible card\t\t\t\t\t\t\t\t\tDirectX®: DirectX 9.0c\t\t\t\t\t\t\t\t\tHard Drive: 32GB free hard disk space\t\t\t\t\t\t\t\t\tScreen Resolution: 1280x1024 minimum\t\t\t\t\t\t\t\t
Uncanny Valley	359580	Action, Adventure, Indie	Adventure, Pixel Graphics, Indie, Horror, Psychological Horror, Action, Atmospheric, Survival Horror, Great Soundtrack, Action-Adventure, 2D, GameMaker	491	55.8	NA	2	4	NA	Cowardly Creations	Cowardly Creations	23-Apr-2015	NA	OS: Windows 7Processor: 2.5 GhzMemory: 2 GB RAMGraphics: Direct X9.0c Compatible CardDirectX: Version 9.0Storage: 200 MB available space	NA
War of the Roses Balance Beta	206980		NA	0	NA	NA	NA	NA	NA			NA	NA	NA	NA
