Name	AppID	Genre	Tags	Votes_total	Positive_rating	Played_time (h)	Time_to_finish (h)	Time_to_complete (h)	Achievements	Percentage_players_five_last_achievements	Percentage_players_last_achievement	Percentage_achievements	First_achievement	Last_achievement	Last_game	Developer	Publisher	Release_date	Removed_game	Minimum_requirements	Recommended_requirements
UFO: Afterlight - Old Version	7500		NA	0	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA			NA	X	NA	NA
UFO: Afterlight	237950	Indie, Strategy	Strategy, Tactical, Sci-fi, Real-Time with Pause, Indie, Aliens, Singleplayer, Turn-Based, Mars, Violent, RPG, Turn-Based Strategy	517	65.2	0	33	61	NA	NA	NA	NA	NA	NA	NA	Altar Games	Bohemia Interactive	06-Jan-2014	NA	OS: Windows 10Processor: Intel Pentium® III or AMD® Athlon - 1GHzMemory: 512 MB RAMGraphics: nVidia® GeForce™ 5700 or ATI Radeon® 9500 *Storage: 2550 MB available spaceAdditional Notes: *Intel integrated cards are not supported at this time. We are looking into a fix. 	OS: Windows 10Processor: Intel Pentium® III or AMD® Athlon - 2GHzMemory: 768 MB RAMGraphics: nVidia® GeForce™ 6600 or ATI Radeon® 9700 Pro or better*Storage: 2550 MB available space
Race: The WTCC Game	4230	Racing	Racing, Automobile Sim, Driving, Simulation	195	74.4	0	5	0	NA	NA	NA	NA	NA	NA	NA	SimBin	SimBin	24-Nov-2006	NA	Minimum Microsoft Windows XP Home\/Pro, 1.7 GHz Intel Pentium 4 or 100% compatible Processor, 512 MB RAM, 2.5 GB free space, DirectX 9 compatible graphics card with 128 MB memory, DirectX 9 compatible Sound Card, Keyboard and Mouse, DirectX Version 9 Recommended3 GHz Intel Pentium IV or 100% compatible Processor, 1 GB RAM, DirectX 9 compatible graphics card with 256 MB memory, DirectX 9 compatible force feedback steering wheelGraphic Cards not supported:NVIDIA GeForce 3\/4 cardsATI Radeon 8500\/9000\/9200Intel Motherboard mounted chipsets	NA
RACE: Caterham Expansion	4290	Racing	Racing, Driving, Automobile Sim, Simulation	13	46.2	0	3	0	NA	NA	NA	NA	NA	NA	NA	SimBin	SimBin	22-Jun-2007	NA	Minimum Microsoft Windows XP Home\/Pro, 1.7 GHz Intel Pentium 4 or 100% compatible Processor, 512 MB RAM, 2.5 GB free space, DirectX 9 compatible graphics card with 128 MB memory, DirectX 9 compatible Sound Card, Keyboard and Mouse, DirectX Version 9 Recommended3 GHz Intel Pentium IV or 100% compatible Processor, 1 GB RAM, DirectX 9 compatible graphics card with 256 MB memory, DirectX 9 compatible force feedback steering wheelGraphic Cards not supported:NVIDIA GeForce 3\/4 cardsATI Radeon 8500\/9000\/9200Intel Motherboard mounted chipsets	NA
Call of Juarez	3020	Action	Western, Action, FPS, Shooter, Singleplayer, Adventure, First-Person, Atmospheric, Multiplayer, Violent, Stealth, Story Rich, Gore, Classic, Open World, Great Soundtrack, Bullet Time	4010	80.3	0	8	11	NA	NA	NA	NA	NA	NA	NA	Techland	Techland Publishing	08-Nov-2007	NA	Windows® 2000\/XP (only), 2.2 GHz Pentium® 4, AMD Athlon™ 2400+, or 2.4 GHz Celeron or better (3 GHz Pentium 4, AMD Athlon 3000+, or 3 GHz Celeron or better recommended), 512 MB RAM (1 GB recommended), nVidia: GF6600, ATI: Radeon 9800 or better video card*, DirectX 9-compliant sound device, DirectX 9.0c or higher, 2 GB Hard Drive Space, Windows-compliant mouse and keyboard *Supported Video Cards at Time of Release: nVidia GeForce 6600, 6800, 7600, 7800, 7900 ATI Radeon: 9800, X800, X1300, X1600, X1800. X1900	NA
Conflict: Denied Ops	8100	Action	Action, FPS, Singleplayer, Co-op, Shooter, Military	434	51.2	0	6	0	NA	NA	NA	NA	NA	NA	NA	Pivotal Games	Square Enix	08-Feb-2008	NA	  Supported OS:  Microsoft® Windows® XP, 2000 or Vista (admin rights required) Processor:  2.0 Ghz Intel Pentium 4, AMD Athlon XP or equivalent processor Graphics:  128 MB DirectX 9.0c card with full Shader 3.0 support DirectX Version: DirectX 9.0c Memory:  1024 MB RAM Sound:  DirectX 9.0c compatible sound card Hard Drive:  7 GB uncompressed free hard disk space input Devices: Keyboard and mouse or Xbox 360 Controller	Processor: Intel Core 2 Duo \/ Athlon 64 X2 or Equivalent Multi-core CPU Memory: 2 GB RAM (required for 8-player multiplayer games) Graphics: 256mb Direct X 9.0c card with full Shader 3.0 support (NVIDIA 7900GS or better) Sound: Sound Blaster® X-Fi™ series Input devices: Keyboard and 3 button mouse or Xbox 360 ControllerGraphics Cards supported: All DirectX 9.0c graphics cards with full Shader Model 3.0 support. GeForce 6800, 7300, 7600, 7800, 7900, 7950, 8400, 8500, 8600, 8800 Radeon X1300, X1600, X1800, X1900, X2400, X2600, X2900Graphics Cards not supported: Any graphics card which does not support DirectX 9.0c or Shader Model 3.0 fully.
Tom Clancy's Splinter Cell	13560	Action	Stealth, Action, Third Person, Singleplayer, Classic, Shooter, Third-Person Shooter, Multiplayer, Adventure, Atmospheric, Difficult, Controller, Tactical, Co-op, Strategy	3364	87.7	0	12	16	NA	NA	NA	NA	NA	NA	NA	Ubisoft	Ubisoft	01-Apr-2008	NA	  Supported OS: Originally released for Windows 7, the game can be played on Windows 10 and Windows 11 OS Processor: Pentium® III or AMD Athlon™ 800 MHz  System Memory: 256 MB of RAM or above  Video Card: 32 MB 3D video card (64 Sound Card: Direct X 8.1 compliant sound card ( DirectX Version: DirectX® version 8.1 or higher Hard Disk: 1.5 GB available hard disk space  Multiplayer: Broadband Internet connection  	  Supported OS: Originally released for Windows 7, the game can be played on Windows 10 and Windows 11 OS Processor: Pentium® III or AMD Athlon™ 1.0 GHz  System Memory: 256 MB of RAM or above  Video Card: 64 MB 3D video card\/ Sound Card: Direct X 8.1 compliant sound card with surround system DirectX Version: Direct X 8.1  Hard Disk: 2.1 GB available hard disk space Note: For an up-to-date list of supported chipsets, video cards, and operating systems, please visit the FAQ for this game at: .
Assassin's Creed	15100	Action, Adventure	Action, Combat, Stealth, Adventure, Historical, Third Person, Parkour, Exploration, Assassin, Singleplayer, Medieval, Story Rich, Conspiracy, Atmospheric, Realistic, Action-Adventure, Open World, 3D, Cinematic, Narration	21897	81.4	0	15	31	NA	NA	NA	NA	NA	NA	NA	Ubisoft Montreal	Ubisoft	09-Apr-2008	NA	  Supported OS: Windows® XP\/Windows Vista® (only) Processor: Dual core processor 2.6 GHz Intel® Pentium® D or AMD Athlon™ 64 X2 3800+ (Intel Core® 2 Duo 2.2 GHz or AMD Athlon 64 X2 4400+ or better recommended) System Memory: Windows XP: 1 GB RAM \/ Windows Vista: 2 GB RAM Video Card: 256 MB DirectX® 10.0-compliant video card or DirectX 9.0-compliant card with Shader Model 3.0 or higher (*see supported list) Sound Card: DirectX 9.0 or 10.0-compliant sound card (5.1 sound card recommended) DirectX Version: Direct X 9.0 (Windows XP) or 10.0 (Windows Vista) libraries  Hard Disk: 8 GB available hard disk space Supported Peripherals: Keyboard, mouse, optional controller (Xbox 360® Controller for Windows recommended) *Supported video cards at time of release: ATI® RADEON® X1600** \/1650**- 1950\/  HD 2000\/3000 series, NVIDIA GeForce® 6800**\/7\/8\/9 series.  **PCI Express only supported. Laptop versions of these cards may work but are NOT supported. These chipsets are the only ones that will run this game. For the most up-to-date requirements, please visit the FAQ for this game at: .	NA
Team Fortress Classic	20	Action	Action, FPS, Multiplayer, Classic, Hero Shooter, Shooter, Team-Based, Class-Based, First-Person, 1990's, Old School, Co-op, Competitive, Fast-Paced, Retro, Online Co-Op, Violent, Funny, Mod, Remake	8738	87	0	16	0	NA	NA	NA	NA	NA	NA	NA	Valve	Valve	01-Apr-1999	NA	 500 mhz processor, 96mb ram, 16mb video card, Windows XP, Mouse, Keyboard, Internet Connection	 800 mhz processor, 128mb ram, 32mb+ video card, Windows XP, Mouse, Keyboard, Internet Connection
Half-Life: Opposing Force	50	Action	FPS, Action, Classic, Sci-fi, Singleplayer, Shooter, First-Person, Aliens, 1990's, Adventure, Military, Atmospheric, Story Rich, Silent Protagonist, Great Soundtrack, Gore, Puzzle, Moddable, Retro, Co-op	25561	95.3	0	5	7	NA	NA	NA	NA	NA	NA	NA	Gearbox Software	Valve	01-Nov-1999	NA	 500 mhz processor, 96mb ram, 16mb video card, Windows XP, Mouse, Keyboard, Internet Connection	 800 mhz processor, 128mb ram, 32mb+ video card, Windows XP, Mouse, Keyboard, Internet Connection
Half-Life: Blue Shift	130	Action	FPS, Action, Sci-fi, Singleplayer, Shooter, Aliens, Classic, First-Person, Zombies, Adventure, 1990's, Short, Atmospheric, Silent Protagonist, Story Rich, Puzzle, Moddable, Retro, Great Soundtrack, Violent	18794	92.5	0	3	4	NA	NA	NA	NA	NA	NA	NA	Gearbox Software	Valve	01-Jun-2001	NA	 500 mhz processor, 96mb ram, 16mb video card, Windows XP, Mouse, Keyboard, Internet Connection	 800 mhz processor, 128mb ram, 32mb+ video card, Windows XP, Mouse, Keyboard, Internet Connection
Half-Life: Source	280	Action	FPS, Action, Classic, Sci-fi, Singleplayer, First-Person, Shooter, Aliens, 1990's, Zombies, Story Rich, Adventure, Remake, Atmospheric, Silent Protagonist, Multiplayer, Horror, Great Soundtrack, Moddable, Gore	16056	68.9	0	11	14	NA	NA	NA	NA	NA	NA	NA	Valve	Valve	01-Jun-2004	NA	 1.2 GHz Processor, 256MB RAM, DirectX 7 level graphics card, Windows XP, Mouse, Keyboard, Internet Connection	 2.4 GHz Processor, 512MB RAM, DirectX 9 level graphics card, Windows XP, Mouse, Keyboard, Internet Connection
Savage 2: A Tortured Soul	13700		NA	0	NA	0	No time registered yet	No time registered yet	NA	NA	NA	NA	NA	NA	NA			NA	NA	NA	NA
Cabelas Trophy Bucks	7970	Sports	Sports, America, Hunting	66	27.3	0	0	10	NA	NA	NA	NA	NA	NA	NA	Magic Wand	Activision	NA	X	NA	NA
Petz Catz 2	15150	Simulation	Simulation, Cute, Casual, Family Friendly, Psychological Horror, Dark Fantasy	115	83.5	0	4	0	NA	NA	NA	NA	NA	NA	NA	Ubisoft	Ubisoft	NA	NA	NA	NA
Rayman: Raving Rabbids	15080	Action, Adventure	Action, Funny, Comedy, Adventure, Minigames, Family Friendly, Multiplayer, Singleplayer, Classic, Story Rich, Great Soundtrack, Arcade, Politics, Cult Classic, Co-op, Local Co-Op, Historical, Shooter, Cute, First-Person	1716	84	0	6	11	NA	NA	NA	NA	NA	NA	NA	Ubisoft Bulgaria, Ubisoft Montpellier	Ubisoft	13-Jun-2008	NA	  Supported OS: Microsoft Windows® XP (only) Processor: Intel Pentium® IV 1.0 GHz or AMD Athlon processors (2.5 GHz or better recommended) System Memory: 256 MB of RAM or above (512 MB recommended) Video Card: 64 MB DirectX 8.1-compliant video card (128 MB video card recommended)(*see supported list) Sound Card: Direct X 8.1-compliant sound card DirectX Version: DirectX® version 9.0c or higher Hard Disk: 1.5 GB available hard disk space Supported Peripherals: Keyboard and mouse, Windows-compatible gamepads Supported video cards at time of retail release: NVIDIA GeForce FX\/6\/7\/ series, ATI Radeon 9000\/X series. Laptop versions of these cards may work but are not supported. These chipsets are the only ones that will run this game. For an up-to-date list of supported chipsets, video cards, and operating systems, please visit the FAQ for this game at .	NA
Tom Clancy's Ghost Recon	15300	Action	Tactical, FPS, Action, Simulation, Shooter, Singleplayer, Classic, Military, Strategy, Realistic, Multiplayer, Stealth, Co-op, First-Person, Difficult, War, Moddable, Team-Based, Controller	1515	92.4	0	11	13	NA	NA	NA	NA	NA	NA	NA	Red Storm Entertainment	Ubisoft	15-Jul-2008	NA	OS *: Originally released for Windows 7, the game can be played on Windows 10 and Windows 11 OS                 Processor: 450 MHz Pentium® 2 or equivalent                     Memory: 128 MB                     Graphics: 16 MB DirectX®-compliant 3D card (see supported list*)                     DirectX Version: DirectX 8.0 or higher (included)                     Sound: DirectX 8-compliant sound card                     Hard Drive: 1 GB                     *Supported Video Cards at Time of Release: ATI® Rage 128 and RADEON® chips, Intel® 82810 or higher, Matrox Parhelia™, NVIDIA® TNT2 and GeForce™ chips, S3 Pro Savage and UniChrome                     Laptop versions of these chipsets may work but are not supported. These chipsets are currently the only ones that will run this game.                    	NA
Tom Clancy's Ghost Recon: Island Thunder	13630	Action	Action, Tactical, Shooter, FPS, First-Person, Military, Simulation, Classic, Co-op	158	86.7	0	3	3	NA	NA	NA	NA	NA	NA	NA	Red Storm Entertainment	Ubisoft	15-Jul-2008	NA	  Supported OS: Originally released for Windows 7, the game can be played on Windows 10 and Windows 11 OS Processor: Pentium® II 450 MHz, AMD K6 III 500, or equivalent System Memory: 128 MB of RAM or above  Video Card: 16 MB DirectX® 8.0-compliant 3D card; Voodoo™ cards not supported Sound Card: DirectX 8.0-compliant sound card DirectX Version: DirectX® version 8.0 or higher Hard Disk: 2 GB available hard disk space Multiplay: Properly configured TCP\/IP connection at 56 Kbps or faster Note: For an up-to-date list of supported chipsets, video cards, and operating systems, please visit the FAQ for this game at: .	NA
