Name	AppID	Genre	Tags	Votes_total	Positive_rating	Played_time (h)	Time_to_finish (h)	Time_to_complete (h)	Achievements	Percentage_achievements	First_achievement	Last_achievement	Last_game	Developer	Publisher	Release_date	Removed_game	Minimum_requirements	Recommended_requirements
$1 Ride	508290	Action, Casual, Indie	Casual, Action, Indie, Arcade	893	47.8	2.68	1	0	NA	NA	NA	NA	2017-08-17	BeHappy Studios	Back To Basics Gaming	28-Jul-2016	NA	OS: Windows XP\/Windows Vista\/Windows 7\/8\/10Processor: 1.5Ghz or betterMemory: 128 MB RAMGraphics: DirectX 9.0 CompatibleStorage: 45 MB available space	NA
BioShock Infinite	8870	Action	FPS, Story Rich, Action, Singleplayer, Steampunk, Atmospheric, Shooter, First-Person, Beautiful, Alternate History, Adventure, Great Soundtrack, Dystopian , Sci-fi, Time Travel, Fantasy, Gore, Linear, RPG, Immersive	132695	93.9	2.67	12	28	80	0	NA	NA	2016-03-14	Irrational Games, Virtual Programming (Linux)	2K	25-Mar-2013	NA	OS: Windows Vista Service Pack 2 32-bit Processor: Intel Core 2 DUO 2.4 GHz \/ AMD Athlon X2 2.7 GHz Memory: 2GB Hard Disk Space: 20 GB free Video Card: DirectX10 Compatible ATI Radeon HD 3870 \/ NVIDIA 8800 GT \/ Intel HD 3000 Integrated Graphics Video Card Memory: 512 MB Sound: DirectX Compatible 	OS: Windows 7 Service Pack 1 64-bit Processor: Quad Core Processor Memory: 4GB Hard Disk Space: 30 GB free Video Card: DirectX11 Compatible, AMD Radeon HD 6950 \/ NVIDIA GeForce GTX 560 Video Card Memory: 1024 MB Sound: DirectX Compatible
Frozen Synapse Prime	328600	Strategy	Strategy, Turn-Based, Turn-Based Strategy, Tactical, Top-Down, Sci-fi, Asynchronous Multiplayer, Great Soundtrack, Cyberpunk	337	63.8	2.67	18	34	30	0	NA	NA	2016-02-17	Double Eleven	Double Eleven	14-Nov-2014	X	OS: Windows 7 64 bitProcessor: Intel i3 760 @ 1.2GHz (Dual Core)Memory: 1 GB RAMGraphics: ATI Radeon HD 5450 OR NVidia GeForce 7300DirectX: Version 9.0Storage: 450 MB available spaceSound Card: Integrated 	OS: Windows 7 64 bitProcessor: Intel Core i5 760 @ 2.6GHz (Quad Core)Memory: 2 GB RAMGraphics: ATI Radeon HD 6770 1GB or Nvidia GTX 460 1GBDirectX: Version 11Network: Broadband Internet connectionStorage: 450 MB available spaceSound Card: Integrated
Unforgiving Trials: The Darkest Crusade	489220	Adventure, Indie, RPG	RPG, Indie, Rogue-like, JRPG, Difficult, Adventure, RPGMaker, 2D, Party-Based RPG, Pixel Graphics, Fantasy, Fighting, Arcade, Anime, Dark Fantasy, Medieval, Linear, Singleplayer, Old School, Turn-Based	640	63.9	2.63	11	0	NA	NA	NA	NA	2018-10-17	Amaterasu Software	Amaterasu Software	15-Jun-2016	NA	OS: WindowsR 7\/8\/8.1\/10 (32bit\/64bit)Processor: Intel Core2 Duo or betterMemory: 2 GB RAMGraphics: OpenGL 4.1 capable GPUDirectX: Version 9.0Storage: 700 MB available spaceAdditional Notes: 1280x768 or better Display	NA
GRID 2	44350	Racing, Sports	Racing, Driving, Sports, Multiplayer, Simulation, Arcade, Singleplayer, Realistic, Action, Controller, Split Screen, Local Multiplayer, Open World, Co-op, Online Co-Op, Casual, First-Person, Local Co-Op, 3D Vision, Automobile Sim	28627	83.8	2.62	17	29	60	0	NA	NA	2016-03-15	Codemasters Racing	Codemasters	NA	X	 Minimum OS: Windows Vista, Windows 7, Windows 8                Processor: Intel Core 2 Duo @ 2.4Ghz or AMD Athlon X2 5400+                Memory: 2 GB RAM                Hard Disk Space: 15 GB HD space                                Video Card: Intel HD Graphics 3000 \/ AMD HD2600 \/ NVIDIA Geforce 8600                DirectX®: 11                Sound: Direct X compatible soundcard                Additional: Broadband Internet connection                   Additional Supported Graphics Cards: Intel HD Graphics 3000, Intel HD Graphics 4000, Intel Graphics 5200.AMD Radeon HD2600 or higher, HD3650 or higher, HD4550 or higher, HD5000 Series, HD6000 Series, HD7000 Series.NVIDIA GeForce 8600 or higher, 9500 or higher, GTX220 or higher, GTX400 Series, GTX500 Series, GTX600 Series: AMD Fusion A8 or higher.         Recommended OS: Windows Vista 64 Bit, Windows 7 64 Bit, Windows 8 64 bit                Processor: Intel Core i7\/AMD Bulldozer                Memory: 4 GB RAM                Hard Disk Space: 15 GB HD space                                 Video Card: Intel Graphics 5200 \/ AMD HD6000 Series \/ Nvidia GTX500 Series minimum 1GB RAM                DirectX®: 11                Sound: Direct X compatible soundcard                Additional: Broadband Internet connection           	NA
The Blue Flamingo	302010	Action, Indie	Action, Indie, Shoot 'Em Up, Singleplayer	611	46	2.62	1	2	NA	NA	NA	NA	2016-01-24	Might and Delight	Might and Delight	18-Nov-2014	NA	OS: Windows XP SP2Processor: 2.6 GHz single coreMemory: 2 GB RAMGraphics: DirectX 9.0 compatibilityDirectX: Version 9.0Storage: 600 MB available space 	OS: Windows 8Processor: 3.0 GHz dual coreMemory: 4 GB RAMGraphics: GeForce 8 series, ATI Radeon HD2xxxDirectX: Version 10Storage: 1 GB available space
Velocity®Ultra	244890	Action, Indie	Action, Indie, Shoot 'Em Up, Female Protagonist, 2D	246	76	2.6	4	13	31	0	NA	NA	2016-02-22	Curve Studios, FuturLab	Curve Games	12-Dec-2013	NA	OS: Windows XP, Windows 7, Windows 8Memory: 2 GB RAMGraphics: NDIVIA GeForce series 512MB, AMD(ATI) Radeon series 512MBStorage: 650 MB available spaceSound Card: DirectX compatible 	Network: Broadband Internet connection
Master Reboot	251850	Action, Adventure, Indie	Adventure, Psychological Horror, Indie, Atmospheric, Horror, Sci-fi, Walking Simulator, Puzzle, Psychological, Futuristic, Exploration, Surreal, Cyberpunk, First-Person, Singleplayer, Psychedelic, Female Protagonist, Short, 3D Vision, Action	677	75.6	2.6	4	7	20	0	NA	NA	2016-03-08	Wales Interactive	Wales Interactive	29-Oct-2013	NA	OS: Windows XP, Vista, 7Processor: Intel Core2 Duo, AMD Athlon64 x2, or betterMemory: 2 GB RAMGraphics: Shader Model 3 CompatibleDirectX: Version 9.0cStorage: 2 GB available spaceSound Card: DirectX compatible sound card 	OS: Windows 7 64 BitProcessor: Intel Core i5\/i7, AMD equivalent or betterMemory: 8 GB RAMGraphics: Nvidia GeForce GTX 280, ATI Radeon 4870 or betterDirectX: Version 11Storage: 2 GB available spaceSound Card: DirectX compatible sound card
Broken Sword 5 - the Serpent's Curse	262940	Adventure	1990's, Female Protagonist, Adventure, Investigation, Hand-drawn, Point & Click, Cartoony, Puzzle, Story Rich, Mystery, Conspiracy, Historical, Detective, Funny, Immersive, Indie, Singleplayer, Exploration, Drama, Cinematic	2367	88.8	2.6	6	7	35	0	NA	NA	2016-03-01	Revolution Software Ltd	Revolution Software Ltd	04-Dec-2013	NA	OS: Windows 10 \/ 8 \/ 7 \/ VistaProcessor: 1.4 GHzMemory: 1 GB RAMGraphics: 256 MBStorage: 7 GB available space	NA
Stronghold 3	47400	Simulation, Strategy	Strategy, City Builder, Medieval, Simulation, RTS, Resource Management, Multiplayer, Historical, Sandbox, Base-Building, Singleplayer, Open World, Co-op, Atmospheric, Classic, Building, Survival, Economy, Real-Time, Great Soundtrack	4334	31.9	2.6	7	7	NA	NA	NA	NA	2016-03-07	FireFly Studios	FireFly Studios	25-May-2012	NA	OS: Windows 7\/8\/10\/11 Processor: Dual Core CPU – 2.0GHZ Memory: 2GB RAM Graphics: 256 MB ATI HD2600 XT or better, 256 MB nVidia 7900 GS or better DirectX®: DirectX 9.0c Hard Drive: 5 GB space free Sound: DirectX 9.0c-compatible sound card 	OS: Windows 7\/8\/10\/11 Processor: 1.8 GHz Quad Core CPU Memory: 4GB RAM Graphics: 512 MB ATI 4800 series or better, 512 MB nVidia 9800 series or better DirectX®: DirectX 9.0c Hard Drive: 5 GB space free Sound: DirectX 9.0c-compatible sound card
Final Fantasy III (3D Remake)	239120	RPG	RPG, JRPG, Turn-Based, Remake, Classic, Fantasy, Singleplayer, Great Soundtrack, Retro, Adventure, Old School, Class-Based, Open World, Story Rich, Turn-Based Strategy, Strategy, Difficult, Epic, Turn-Based Combat	2895	82.5	2.6	18	20	18	0	NA	NA	2016-02-12	Square Enix	Square Enix	27-May-2014	NA	OS: Windows Vista, 7, 8Processor: Pentium 4,  2.4 GHzMemory: 2 GB RAMStorage: 800 MB available space	NA
THE KING OF FIGHTERS '98 ULTIMATE MATCH FINAL EDITION	222420	Action	Fighting, Arcade, 2D Fighter, Action, Classic, Multiplayer, 2D, Retro, Pixel Graphics, Anime, Great Soundtrack, Local Multiplayer, Competitive	2439	90	2.6	1	89	12	0	NA	NA	2016-02-15	SNK CORPORATION, Code Mystics	SNK CORPORATION	16-Dec-2014	NA	OS: Windows XPProcessor: Intel Pentium 4 1.8GHz dual coreMemory: 1 GB RAMGraphics: Onboard graphics chipset with 256MB video RAMDirectX: Version 9.0cStorage: 1 GB available spaceSound Card: DirectSound	NA
Two Digits	371330	Casual, Indie	Casual, Indie, Puzzle, Minimalist	385	71.4	2.6	4	4	13	0	NA	NA	2016-03-07	Cleverweek	Cleverweek	22-May-2015	NA	OS: Windows XPMemory: 128 MB RAMDirectX: Version 9.0Storage: 50 MB available space	NA
Shadowrun Chronicles - Boston Lockdown	267750	Indie, RPG, Strategy	RPG, Turn-Based, Cyberpunk, Strategy, Multiplayer, Tactical, Indie, Sci-fi, Co-op, Kickstarter, Massively Multiplayer, Isometric, Fantasy, Turn-Based Strategy, Early Access	1331	59.1	2.6	23	144	29	0	NA	NA	2016-04-15	Cliffhanger Productions	Cliffhanger Productions	28-Apr-2015	X	OS: Windows 7\/Windows 8.1Processor: 2.0+ GHz or betterMemory: 2 GB RAMGraphics: 1024 MB NVidia or ATI graphics cardNetwork: Broadband Internet connectionStorage: 3 GB available spaceAdditional Notes: Requires internet connection to play 	OS: Windows 7\/Windows 8.1Processor: 2.5+ GHz or betterMemory: 4 GB RAMGraphics: 2048 MB NVidia or ATI graphics cardNetwork: Broadband Internet connectionStorage: 3 GB available spaceAdditional Notes: Requires internet connection to play
Never Alone (Kisima Ingitchuna)	295790	Action, Adventure, Casual, Indie	Indie, Platformer, Local Co-Op, Atmospheric, Female Protagonist, Adventure, Story Rich, Puzzle, Local Multiplayer, Casual, Cute, Puzzle-Platformer, Co-op, Side Scroller, Great Soundtrack, Singleplayer, Action, Short, Nature, 2.5D	8047	81	2.6	3	4	19	0	NA	NA	2016-03-12	Upper One Games, E-Line Media	E-Line Media	18-Nov-2014	NA	OS: Windows 7Processor: Intel Core 2 Duo E4500 @ 2.2GHz  or AMD Athlon 64 X2 5600+ @ 2.8 GHzMemory: 2 GB RAMGraphics: GeForce 240 GT or Radeon HD 6570DirectX: Version 9.0cStorage: 3 GB available spaceAdditional Notes: Xbox 360 or equivalent gamepad required for local co-op 	OS: Windows 7 or newerProcessor: Intel Core 2 Quad Q9550 @ 2.8 GHz or AMD Phenom II X4 955 @ 3.2 GHzMemory: 4 GB RAMGraphics: GeForce GTX 650 Ti or Radeon HD 7790DirectX: Version 9.0cStorage: 3 GB available spaceAdditional Notes: Xbox 360 controller or equivalent recommended
Psychonauts	3830	Action	Platformer, Comedy, Adventure, Cult Classic, Singleplayer, Action, Funny, Third Person, 3D Platformer, Classic, Story Rich, Psychological, Great Soundtrack, Surreal, Cartoony, Collectathon, Exploration, Action-Adventure, 3D, 3D Vision	15858	95.2	2.58	12	21	37	0	NA	NA	2016-03-07	Double Fine Productions	Double Fine Productions	11-Oct-2006	NA	OS: Windows 98 SE\/2000\/XP Processor: 1.0 GHz Pentium(R) III and AMD Athlon(tm) Memory: 256 MB of RAM Graphics: 64 MB GeForce (tm) 3 or higher or ATI(R) Radeon 8500 or higher (except GeForce 4 MX and Go series) DirectX®: version 9.0 or higher (included with game) Hard Drive: 3.75 GB minimum hard drive space Sound: DirectX&amp;reg 9.0 or higher compatible sound card Controls: Windows-compatible keyboard and mouse OS: Windows 2000\/XP Processor: 2.0 GHz Pentium(R) IV and AMD Athlon(tm) Memory: 512 MB of RAM Graphics: , 128 MB GeForce FX 5600 or higher or ATI(R) Radeon 9600 or higher DirectX®: version 9.0 or higher (included with game) Hard Drive: 6.0 GB minimum hard drive space Sound: DirectX&amp;reg 9.0 or higher and Sound Blaster Audigy 2 series sound card Controls: Game Pad (optional)	NA
Dungeon Siege	39190	RPG	RPG, Fantasy, Action RPG, Party-Based RPG, Classic, Hack and Slash, Adventure, Singleplayer, Dungeon Crawler, Isometric, Loot, Multiplayer, Co-op, Action, Real-Time with Pause, Open World, Great Soundtrack, Character Customization, Female Protagonist, Old School	3393	80.6	2.58	28	43	NA	NA	NA	NA	2018-04-21	Gas Powered Games	Square Enix	05-Apr-2011	NA	Minimum  OS: Microsoft® Windows® XP SP1 or newer Processor: 333 MHz or faster processor Memory: 128 MB of system RAM Graphics: 8MB video card Hard Drive: 1.5 GB available hard disk space Note on Windows 7: Driver version 270.51 or greater is required for Nvidia-based graphics cards. AMD graphics card owners may need to run in Windows XP SP2 compatibility mode.  	NA
Red Faction: Guerrilla Steam Edition	20500	Action	Open World, Destruction, Action, Physics, Sci-fi, Third Person, Mars, Third-Person Shooter, Multiplayer, Singleplayer, Sandbox, Shooter, Adventure, Atmospheric, Co-op, Great Soundtrack, Controller, Survival, FPS, Funny	7486	90.2	2.58	13	43	60	0	NA	NA	2016-02-29	Volition, Reactor Zero, THQ Nordic	Deep Silver	15-Sep-2009	NA	                    OS: Windows Vista®\/XP\/7\/8                     Processor: 2.0 GHz Dual-Core Processor (Intel Core 2 Duo or AMD Athlon X2)                     Memory: 1 GB RAM                     Graphics: 128 MB 3D Video Card w\/Shader Model 3.0 Support (Nvidia GeForce 7600\/ATI Radeon X1300)                     Hard Drive: 15 GB free hard drive space                     	                    OS: Windows 7\/8 for DirectX® 11                     Processor: 3.2 GHz Dual-Core Processor (Intel Core 2 Duo or AMD Athlon X2)                     Memory: 2 GB RAM                     Graphics: 256 MB 3D Video Card w\/Shader Model 3.0 Support (Nvidia GeForce 8800\/ATI Radeon HD3850)                     Hard Drive: 15 GB free hard drive space                    
DmC Devil May Cry	220440	Action, Adventure	Action, Hack and Slash, Great Soundtrack, Spectacle fighter, Demons, Adventure, Third Person, Singleplayer, Character Action Game, Reboot, Controller, Gore, Stylized, Beat 'em up, Atmospheric, Fast-Paced, Comedy, Story Rich, Fantasy, Platformer	26008	93.4	2.58	9	40	58	0	NA	NA	2016-02-29	Ninja Theory	Capcom	24-Jan-2013	NA	OS:Windows Vista(R)\/XP, Windows 7, Windows 8 Processor:Intel(R) Core(TM)2 Duo 2.4 Ghz or better, AMD Athlon(TM) X2 2.8 Ghz or better Memory:2 GB RAM Graphics:NVIDIA(R) GeForce(R) 8800GTS or better, ATI Radeon(TM) HD 3850 or better DirectX®:9.0c Hard Drive:9 GB HD space Sound:Standard audio device 	OS:Windows Vista(R)\/XP, Windows 7, Windows 8 Processor:Intel(R) Core(TM)2 Quad 2.7 Ghz or better, AMD Phenom(TM)II X4 3 Ghz or better Memory:4 GB RAM Graphics:ATI Radeon(TM) HD 6950 or better DirectX®:9.0c Hard Drive:9 GB HD space Sound:Standard audio device
Demonicon	215630	Action, Adventure, RPG	RPG, Action, Adventure, Fantasy, Dark Fantasy, Third Person, Singleplayer, Action RPG, Story Rich, Controller, Choices Matter	923	67.9	2.58	13	44	49	0	NA	NA	2016-02-11	Noumena Studios	Kalypso Media Digital	24-Oct-2013	NA	OS: Windows XP SP3 (32bit), Windows Vista \/ 7 \/ 8Processor: 2 GHz Dual-coreMemory: 2 GB RAMGraphics: Dedicated DirectX 9.0c compatible graphics card with 512MB VRAM and Shader Model 4.0 support. ATI\/AMD Radeon 3800 series and higher, NVIDIA GeForce 9600GT and higherDirectX: Version 9.0cStorage: 10 GB available spaceSound Card: DirectX compatible 	OS: Windows Vista \/ 7 \/ 8 (64bit)Processor: 3 GHz Quad-coreMemory: 4 GB RAMGraphics: Dedicated DirectX 9.0c compatible graphics card with 1GB VRAM and Shader Model 5.0 supportAdditional Notes: Best played with Xbox 360® controller for Windows
Deus Ex: Human Revolution - Director's Cut	238010	Action, RPG	Cyberpunk, Stealth, RPG, Sci-fi, FPS, Action, Singleplayer, Story Rich, Great Soundtrack, Transhumanism, Dystopian , First-Person, Atmospheric, Adventure, Inventory Management, Immersive, Shooter, Immersive Sim, Futuristic, Replay Value	25700	92.1	2.58	23	45	59	0	NA	NA	2016-02-12	Eidos Montreal	Eidos Interactive Corp.	25-Oct-2013	NA	OS: Windows XP, Windows Vista, Windows 7 or Windows 8Processor: 2 GHz dual coreMemory: 2 GB RAMGraphics: NVIDIA GeForce 8000 series or ATI Radeon HD 2000 series or betterDirectX: Version 9.0cStorage: 17 GB available spaceSound Card: 100% DirectX 9.0c compatible sound device 	OS: Windows 7 or Windows 8Processor: AMD Phenom II X4 or Intel Core 2 Quad or betterMemory: 2 GB RAMGraphics: AMD Radeon HD 5850DirectX: Version 9.0cStorage: 17 GB available spaceSound Card: 100% DirectX 9.0c compatible sound device
Worms World Party Remastered	270910	Action, Indie, Strategy	Strategy, Action, Multiplayer, Indie, Turn-Based, Classic, Funny, 2D, Local Multiplayer, Remake, Comedy, Turn-Based Strategy, Singleplayer	1463	51.4	2.58	9	23	15	0	NA	NA	2018-09-01	Team17 Digital Ltd	Team17 Digital Ltd	16-Jul-2015	NA	OS: Windows XPProcessor: Dual Core CPU 2.4 gHzMemory: 2 GB RAMGraphics: Intel HD Graphics 4000, Nvidia GeForce 8000, ATI Radeon HD 4800 SeriesDirectX: Version 9.0Storage: 1 GB available spaceSound Card: Windows Compatible CardAdditional Notes: We recommend updating your PC's hardware drivers before playing. If your PC is no longer supported by your manufacturer and your hardware drivers are very old, you may experience difficulty running the game. Please check with your PC manufacturer for more details.	NA
Trine 3: The Artifacts of Power	319910	Action, Adventure, Indie	Puzzle-Platformer, 3D Platformer, Adventure, Co-op, Action, Fantasy, Controller, Puzzle, Local Co-Op, Platformer, Indie, Atmospheric, Multiplayer, Short, Physics, Local Multiplayer, 3D Vision, Singleplayer, RPG, 2.5D	8136	63.9	2.58	5	7	28	0	NA	NA	2016-03-01	Frozenbyte	Frozenbyte	20-Aug-2015	NA	OS: (64 bit \/ 32 bit *) Windows 10 \/ 8 \/ 7 \/ VistaProcessor: Intel Core i3\/i5\/i7 1.8 GHz CPU dual-core. AMD 2.0 GHz dual-core.Memory: 4 GB RAMGraphics: NVIDIA GeForce 260 \/ Radeon HD 4000 Series \/ Intel HD Graphics 4000DirectX: Version 10Network: Broadband Internet connectionStorage: 6 GB available spaceAdditional Notes: * Highest graphics detail levels are only available in 64 bit OS 	OS: OS: (64 bit \/ 32 bit *) Windows 10 \/ 8 \/ 7 \/ VistaProcessor: Intel quad-core 2.0 GHz or dual-core 2.6 GHzMemory: 8 GB RAMGraphics: NVIDIA GeForce GTX 560 2GB \/ Radeon HD 6850 2GBDirectX: Version 10Network: Broadband Internet connectionStorage: 6 GB available spaceAdditional Notes: * Highest graphics detail levels are only available in 64 bit OS
Yury	321950	Action, Adventure, Indie	Indie, Adventure, Action, Platformer, Difficult, 2D, Space, Retro, Fast-Paced, Pixel Graphics, Singleplayer	494	47	2.58	1	2	14	0	NA	NA	2016-02-22	Cubic Pie	Cubic Pie	09-Dec-2014	NA	OS: Windows XPProcessor: 2 GHzGraphics: DirectX® 9.0c compatibleDirectX: Version 9.0cStorage: 40 MB available spaceSound Card: any	NA
The Architect	375420	Indie	Indie, Puzzle-Platformer, Puzzle	33	66.7	2.58	No time registered yet	No time registered yet	19	0	NA	NA	2020-05-25	Spooky Star	Spooky Star	04-Jun-2015	X	OS: Windows 7Processor: Intel® Atom™ Z3735G, 1.83GHz or equivalentMemory: 1 GB RAMGraphics: Intel HD GraphicsDirectX: Version 10Storage: 230 MB available space 	OS: Windows 8Processor: Intel® Core 2 Duo 7300, 2.53GHz or equivalentMemory: 2 GB RAMGraphics: AMD Radeon 3850\/nVidia GTX 560DirectX: Version 11Storage: 300 MB available space
FEMINAZI: The Triggering	585550	Action, Casual, Indie, Simulation	Memes, Indie, Casual, Action, Simulation, Singleplayer, Character Customization, Arcade, Cartoony, Psychological Horror, GameMaker, Funny, Great Soundtrack, Illuminati, Pixel Graphics, Cartoon, Nudity, Story Rich, Soundtrack, Education	1244	79.8	2.58	0	3	70	0	NA	NA	2017-07-31	hyperboreanGames, Svarog Studios	Back To Basics Gaming	20-Feb-2017	NA	OS: Windows 7 or betterProcessor: 1.2 GhzMemory: 512 MB RAMGraphics: DirectX 9 compatible, at least 256MB video memoryDirectX: Version 9.0Storage: 100 MB available space	NA
BloodRayne	3810	Action	Action, Vampire, Female Protagonist, Third Person, Singleplayer, Hack and Slash, Gore, Horror, Supernatural, Third-Person Shooter, World War II, Dark, Cult Classic, Mature	598	78.4	2.57	7	10	NA	NA	NA	NA	2016-03-02	Terminal Reality	Ziggurat	14-Sep-2006	X	 Windows 98\/2000\/XP, 733 MHz processor, 128MB RAM, 200MB virtual memory,  2 GB free hard disc space, DirectX 8.1 or higher (included with game), DirectX compatible sound card, 100% DirectX 8.1 compatible video card, ATI Radeon, GeForce 2 or higher, with Hardware T&amp;L (Transform &amp; Lighting). Excludes GeForce MX and Go series cards. See full list below. Excluded cards:- TnT\/TnT 2- ATI Rage (any kind) - ATI Radeon VE and Radeon 7000 - ATI Mobility Radeon (original, laptop) - Kyro 1 &amp; 2 (example, Hercules 3D Prophet 4000\/4500) - any Voodoo card - any Intel card - any Matrox card (except the Parhelia) - any kind of integrated graphics (except the nForce) 	 Windows XP, Pentium 4 2.53 GHz or AMD equivalent, 512 MB RAM, 200MB virtual memory, 2 GB free hard disc space, 64MB nVidia GeForce 3, GeForce 4 Ti or ATI Radeon 8500 video card, DirectX 8.1 or higher (included with game), Sound Blaster Audigy sound card
The Magic Circle	323380	Action, Adventure, Indie, Simulation, Strategy	Adventure, Indie, Puzzle, Story Rich, Simulation, Action, First-Person, Satire, Strategy, Comedy, Singleplayer, Programming, Walking Simulator, Exploration	1385	92.5	2.57	4	9	14	0	NA	NA	2016-04-17	Question	Question	09-Jul-2015	NA	OS: Windows XP, Vista, Windows 7, Windows 8Processor: AMD Athlon 64 Processor 3800+ 2.4Ghz or better, Intel Pentium 4 530 3.0Ghz Processor or betterMemory: 2 GB RAMGraphics: NVIDIA 7800GT 256MB graphics card or better, ATI Radeon X1900 256MB graphics card or better that supports Shader Model 3 and has at least 256 MB of VRAMDirectX: Version 9.0cStorage: 2 GB available spaceSound Card: 100% DirectX 9.0C compliant sound card or onboard soundAdditional Notes: NOTICE: Intel HD 4000 chipset is not supported 	OS: Windows XP, Vista, Windows 7, Windows 8Processor: AMD Athlon 64 X2 5200+ Dual Core 2.60Ghz, Intel Core 2 Duo E6420 Dual Core 2.13GhzMemory: 4 GB RAMGraphics: NVIDIA 8800GT 512MB graphics card or better, ATI Radeon HD4830 512MB graphics card or betterDirectX: Version 9.0cStorage: 2 GB available spaceSound Card: 100% DirectX 9.0C compliant sound card or onboard sound
Infinite Space III: Sea of Stars	269990	Adventure, Indie	Adventure, Indie, Space, Rogue-like, Sci-fi	118	71.2	2.55	No time registered yet	No time registered yet	52	0	NA	NA	2018-04-20	Digital Eel	Digital Eel	29-Oct-2015	NA	OS: Windows XPProcessor: 1.8GHzMemory: 2048 MB RAMGraphics: 256MB OpenGL compatibleStorage: 500 MB available spaceSound Card: 16-bit stereo sound	NA
Nightmares from the Deep 3: Davy Jones	284810	Adventure, Casual	Hidden Object, Adventure, Casual, Point & Click, Puzzle, Female Protagonist, Pirates, Mystery, Fantasy, Singleplayer, 2D, Story Rich, Horror, Family Friendly, Great Soundtrack, Atmospheric, Indie	762	95.4	2.55	4	7	32	0	NA	NA	2018-05-16	Artifex Mundi	Artifex Mundi	29-Jan-2015	X	OS: Windows XP, Windows Vista, Windows 7, Windows 8Processor: 1.5 GHzMemory: 512 MB RAMGraphics: 128 MB VRAMDirectX: Version 9.0Storage: 1 GB available space 	OS: Windows XP, Windows Vista, Windows 7, Windows 8Processor: 2 GHzMemory: 1 GB RAMGraphics: 256 MB VRAMDirectX: Version 9.0Storage: 1 GB available space
Frederic: Evil Strikes Back	301200	Action, Casual, Indie	Casual, Indie, Music, Action, Comedy, Great Soundtrack, Rhythm, Touch-Friendly	787	84.2	2.55	2	7	18	0	NA	NA	2017-07-07	Forever Entertainment S. A.	Forever Entertainment S. A.	23-May-2014	NA	OS: Windows 7Processor: Dual core from Intel or AMD at 2.8 GHzMemory: 2 GB RAMGraphics: nVidia GeForce 7800, ATI\/AMD Radeaon HD2600\/3600DirectX: Version 9.0cStorage: 2 GB available space	NA
Data Hacker: Initiation	311860	Adventure, Indie, RPG, Simulation	RPG, Indie, Adventure, RPGMaker, Simulation, Pixel Graphics, JRPG	237	64.6	2.55	26	54	52	0	NA	NA	2018-04-20	New Reality Games	New Reality Games	21-Jul-2014	NA	OS: Windows XP\/Vista\/7\/8Processor: Intel® Pentium® 4 2.0 GHz equivalent or fasterMemory: 512 MB RAMGraphics: Card capable of 1024 x 768 pixels or higher desktop resolutionStorage: 320 MB available spaceSound Card: Basic Sound Card	NA
Data Hacker: Reboot	331790	Adventure, Indie, RPG	Indie, RPG, Adventure, RPGMaker, Anime, Story Rich, Sci-fi, Fantasy, Crafting, JRPG	199	59.8	2.55	No time registered yet	No time registered yet	40	0	NA	NA	2018-04-20	New Reality Games	New Reality Games	17-Apr-2015	NA	OS: Windows XP or aboveProcessor: Intel Pentium 4 2.Ghz or aboveGraphics: Minimum 960x540 Desktop ResolutionStorage: 700 MB available spaceSound Card: Stereo Sound	NA
Mayjasmine episode01 What is God? 五月茉莉	417110	Adventure, Indie	Visual Novel, Anime, Indie, Adventure, Horror, Nudity, Gore, Cute, Psychological Horror, Historical	328	70.1	2.55	6	0	NA	NA	NA	NA	2018-05-16	Erotes Studio	Erotes Studio	02-Dec-2015	NA	OS: window VISTA(32\/64bit)Processor: Pentium4 1.4GHzMemory: 1 GB RAMDirectX: Version 9.0cStorage: 5 GB available space 	OS: window VISTA(32\/64bit) \/ 7(32\/64bit) \/ 8(32\/64bit)Processor: Pentium4 1.4GHzMemory: 2 GB RAMDirectX: Version 9.0cStorage: 10 GB available space
Lara Croft GO	540840	Adventure	Puzzle, Adventure, Female Protagonist, Turn-Based, Singleplayer, Board Game, Isometric, Casual, Atmospheric, Grid-Based Movement, Soundtrack, Platformer, Indie, Strategy, Parkour, Horror, Memes, Illuminati, Anime, Nudity	3294	92.4	2.55	4	7	17	0	NA	NA	2018-04-20	Square Enix Montréal	Crystal Dynamics	04-Dec-2016	NA	OS: Windows 7Processor: Intel(R) Core(TM)2 Quad CPU    Q6600  @ 2.40GHz (4 CPUs), ~2.4GHzMemory: 1 GB RAMGraphics: NVIDIA GeForce 310DirectX: Version 11Storage: 2 GB available space 	OS: Windows 10 Pro 64-bitProcessor: Intel(R) Core(TM) i5-3450 CPU @ 3.10GHz (4 CPUs), ~3.1GHzMemory: 2 GB RAMGraphics: NVIDIA GeForce GTX 970DirectX: Version 12Storage: 2 GB available space
