Name	AppID	Genre	Tags	Votes_total	Positive_rating	Played_time	Time_to_finish	Time_to_complete	100% Completed	Developer	Publisher
Deadpool	224060	Action	Funny, Action, Superhero, Singleplayer, Comedy, Shooter, Gore, Dark Humor, Adventure, Third Person, Hack and Slash, Comic Book, Mature, Nudity, Memes, Third-Person Shooter, Story Rich, Beat 'em up, Multiplayer, Open World	3694	91.2019491066595	33	7	16	X	High Moon Studios	Activision
Mercenary Kings	218820	Action, Adventure, Indie, RPG	Action, Indie, 2D, Co-op, Pixel Graphics, Platformer, Side Scroller, Local Co-Op, Adventure, Shooter, Crafting, RPG, Split Screen, Retro, Online Co-Op, Local Multiplayer, Shoot 'Em Up, Arcade, Kickstarter, Female Protagonist	2370	70.5485232067511	32	20	54	NA	Tribute Games Inc.	Tribute Games Inc.
N++	230270	Action	Precision Platformer, Local Co-Op, Local Multiplayer, 2D Platformer, Action, Parkour, Difficult, Level Editor, Minimalist, Indie, Ninja, Singleplayer, Puzzle-Platformer, Fast-Paced, Colorful, 4 Player Local, Arcade, Family Friendly, Physics, Multiplayer	2742	94.1283734500365	30	27	317	NA	Metanet Software Inc.	Metanet Software Inc.
Dead Island	91310	Action, RPG	NA	15328	86.6584029227557	28	18	48	NA	Techland	Deep Silver
Wasteland 2	240760	Adventure, Indie, RPG, Strategy	RPG, Post-apocalyptic, Turn-Based, Strategy, Tactical, Adventure, Isometric, CRPG, Singleplayer, Kickstarter, Open World, Indie, Turn-Based Strategy, Sci-fi, Survival, Crowdfunded, Atmospheric, Exploration, Old School, Action RPG	7981	82.3581004886606	28	41	104	NA	inXile Entertainment	inXile Entertainment
resident evil 4 (2005)	254700	Action, Adventure	Inventory Management, Survival Horror, Action, Zombies, Horror, Third-Person Shooter, Singleplayer, Adventure, Classic, Third Person, Quick-Time Events, Atmospheric, Survival, Shooter, Gore, Remake, Replay Value, Great Soundtrack, Difficult, Multiplayer	54921	91.7936672675297	28	16	31	X	Capcom	Capcom
Unepic	233980	Action, Indie, RPG	RPG, Indie, Metroidvania, Platformer, Action, Comedy, 2D, Exploration, Fantasy, Adventure, Co-op, Singleplayer, Multiplayer, Funny, Side Scroller, Pixel Graphics, Retro, Magic, Epic, Online Co-Op	7604	91.977906365071	27	18	43	NA	@unepic_fran	@unepic_fran
Plants vs. Zombies: Game of the Year	3590	Strategy	Tower Defense, Zombies, Strategy, Singleplayer, Casual, Comedy, 2D, Classic, Great Soundtrack, Family Friendly, Funny, Puzzle, Cute, Addictive, Survival, Indie, Tactical, Touch-Friendly, Adventure, Post-apocalyptic	97323	97.3623912127657	26	8	44	NA	PopCap Games, Inc.	PopCap Games, Inc., Electronic Arts
Mark of the Ninja	214560	Action, Adventure, Indie	Stealth, Platformer, Ninja, Indie, 2D, Action, Singleplayer, Side Scroller, Adventure, Assassin, Atmospheric, Controller, Replay Value, Puzzle, Cartoon, Dark, Short, Story Rich, Strategy, Casual	15724	96.9982192826253	25	8	20	X	Klei Entertainment	Microsoft Studios
The Whispered World Special Edition	268540	Adventure, Indie	Adventure, Point & Click, Indie, Singleplayer, Puzzle, Story Rich, Fantasy, Atmospheric, Great Soundtrack, Escape Room, Comedy, Hand-drawn, 2D, Funny	1676	75.5966587112172	25	10	13	X	Daedalic Entertainment	Daedalic Entertainment
Orcs Must Die! 2	201790	Action, Adventure, Indie, RPG, Strategy	Tower Defense, Co-op, Action, Strategy, Online Co-Op, Indie, RPG, Third Person, Adventure, Multiplayer, Third-Person Shooter, Comedy, Singleplayer, Cartoony, Shooter, Fantasy, Female Protagonist, Controller, Funny, Great Soundtrack	18214	93.7300977270232	23	8	41	NA	Robot Entertainment	Robot Entertainment
Dust: An Elysian Tail	236090	Action, Adventure, Indie, RPG	Action, Platformer, Metroidvania, Indie, RPG, Adventure, 2D, Singleplayer, Fantasy, Great Soundtrack, Beat 'em up, Hack and Slash, Exploration, Story Rich, Controller, Beautiful, Side Scroller, Anime, Action RPG, Atmospheric	17707	95.5949624442311	23	10	18	X	Humble Hearts LLC	Xbox Game Studios
DRAGON BALL XENOVERSE	323470	Action	Anime, Fighting, Action, Character Customization, Multiplayer, Co-op, Adventure, Singleplayer, RPG, Online Co-Op, Third Person, Fantasy, Dragons, Beat 'em up, Controller, Open World, Action RPG, Funny, Fast-Paced, Local Co-Op	17081	89.1107078039927	23	17	91	NA	DIMPS	BANDAI NAMCO Entertainment
METAL SLUG	366250	Action	Action, Arcade, 2D, Shoot 'Em Up, Retro, Classic, Side Scroller, Co-op, Multiplayer, Local Multiplayer, Shooter, Pixel Graphics, Local Co-Op, Funny, Platformer, Singleplayer, Adventure, Fast-Paced, Cartoony, Great Soundtrack	2910	89.2783505154639	22	1	2	X	Dotemu	SNK CORPORATION
Sonic Generations	71340	Action	Platformer, Great Soundtrack, Action, Fast-Paced, 3D Platformer, Singleplayer, 2D, Moddable, Adventure, Family Friendly, Classic, Colorful, Retro, Time Travel, 3D, Controller, Third Person, Replay Value, 3D Vision, Funny	20295	93.1116038433112	22	6	24	X	Devil's Details	SEGA
Dead Rising 3	265550	Action	Zombies, Action, Open World, Co-op, Gore, Survival, Comedy, Open World Survival Craft, Multiplayer, Third Person, Funny, Crafting, Adventure, Online Co-Op, Sandbox, Horror, Singleplayer, Atmospheric, Survival Horror, RPG	15790	75.0918302723243	21	14	46	NA	Capcom Game Studio Vancouver	Capcom
Resident Evil 5	21690	Action, Adventure	Action, Zombies, Co-op, Third-Person Shooter, Horror, Co-op Campaign, Online Co-Op, Adventure, Multiplayer, Third Person, Survival Horror, Shooter, Singleplayer, Local Co-Op, Female Protagonist, Quick-Time Events, Survival, Gore, Atmospheric, 3D Vision	32026	87.0480234809218	21	12	33	NA	Capcom	Capcom
Owlboy	115800	Action, Adventure, Indie	Pixel Graphics, Adventure, Indie, Great Soundtrack, Metroidvania, Platformer, 2D, Story Rich, Action, Atmospheric, Fantasy, Puzzle-Platformer, Singleplayer, Retro, Action-Adventure, Flight, Funny, Cute, Open World, RPG	5356	84.596713965646	21	8	13	X	D-Pad Studio	D-Pad Studio
Darksiders II Deathinitive Edition	388410	Action, Adventure, RPG	Action, Hack and Slash, Adventure, RPG, Open World, Singleplayer, Third Person, Fantasy, Story Rich, Puzzle, Great Soundtrack, Action RPG, Dark Fantasy, Parkour, Loot, Gore, Spectacle fighter, Controller, Multiplayer, Metroidvania	14864	77.5834230355221	19.9	20	52	NA	Gunfire Games, Vigil Games, THQ Nordic	THQ Nordic
The East New World	462950	Action, Adventure, Indie, RPG	Adventure, RPG, Action, Indie, Platformer	48	50	20	Sin registro de tiempo	Sin registro de tiempo	NA	TEN10 Games	TEN10 Games
Resident Evil 2	883710	Action	Zombies, Survival Horror, Horror, Remake, Singleplayer, Third Person, Gore, Action, Atmospheric, Puzzle, Violent, Story Rich, Classic, Survival, Multiplayer, Female Protagonist, Dark, Adventure, Shooter, Difficult	120091	97.1396690842778	19.3	9	34	NA	CAPCOM Co., Ltd.	CAPCOM Co., Ltd.
Battle vs Chess	211050		Strategy, Chess, Casual, Board Game, Turn-Based Strategy, Turn-Based, Multiplayer	976	71.2090163934426	18.5	17	0	NA		
Blasphemous	774361	Action, Adventure, Indie	Metroidvania, Souls-like, Pixel Graphics, Gore, Dark Fantasy, Violent, 2D, Action, Indie, Difficult, Platformer, Adventure, Blood, Horror, Singleplayer, Gothic, Great Soundtrack, Lore-Rich, Side Scroller, Nudity	27911	90.4123822148974	18.3	13	27	NA	The Game Kitchen	Team17
Cuphead	268910	Action, Indie	Difficult, Cartoon, Co-op, Platformer, Great Soundtrack, Local Co-Op, 2D, Hand-drawn, Multiplayer, Indie, Retro, Cartoony, Bullet Hell, Action, Shoot 'Em Up, Side Scroller, Singleplayer, Colorful, Funny, Atmospheric	128419	96.5589204089737	17.3	10	24	NA	Studio MDHR Entertainment Inc.	Studio MDHR Entertainment Inc.
Oceanhorn: Monster of Uncharted Seas	339200	Action, Adventure, Indie, RPG	Adventure, RPG, Action, Indie, Puzzle, Singleplayer, Fantasy, Action-Adventure, Open World, Isometric, Action RPG, Cartoony, JRPG, Controller, Exploration, Metroidvania, 3D, Colorful, Lore-Rich, Story Rich	1889	79.9894123875066	17.3	9	16	X	Cornfox & Brothers Ltd.	Cornfox & Brothers Ltd.
Brütal Legend	225260	Action, Adventure, Strategy	Action, Comedy, Adventure, Great Soundtrack, Open World, Music, Hack and Slash, Strategy, Third Person, Funny, RTS, Fantasy, Singleplayer, Gothic, Action-Adventure, Multiplayer, Atmospheric, Beat 'em up, RPG, Action RPG	17203	93.076788932163	17.2	9	24	NA	Double Fine Productions	Double Fine Productions
