Grim Dawn	Grim Dawn	21	159	1	Exact	Grim Dawn	219990	NA	NA	NA	NA	NA	NA	NA	NA	NA	279	NA	NA	NA	NA	NA	NA
Clicker Heroes	Clicker Heroes	378	1178	1	Exact	Clicker Heroes	363970	NA	NA	NA	NA	NA	NA	NA	NA	NA	259	NA	NA	NA	NA	NA	NA
Cadria Item Shop	Cadria: Item Shop	No time registered yet	No time registered yet	0.94	Exact	Cadria Item Shop	883860	NA	NA	NA	NA	NA	NA	NA	NA	NA	227	NA	NA	NA	NA	NA	NA
Greed Knights	Greed Knights	0	266	1	Exact	Greed Knights	1444670	NA	NA	NA	NA	NA	NA	NA	NA	NA	218	NA	NA	NA	NA	NA	NA
Age of Empires III (2007)	Age of Empires III	15	32	1	Exact	Age of Empires® III (2007)	105450	NA	NA	NA	NA	NA	NA	NA	NA	NA	217	NA	NA	NA	NA	NA	NA
Idle Baker Boss	NA	NA	NA	NA	NA	Idle Baker Boss	2087000	NA	NA	NA	NA	NA	NA	NA	NA	NA	213	NA	NA	NA	NA	NA	NA
Holyday City: Reloaded	Holyday City: Reloaded	0	417	1	Exact	Holyday City: Reloaded	728730	NA	NA	NA	NA	NA	NA	NA	NA	NA	209	NA	NA	NA	NA	NA	NA
Realm Revolutions	Realm Revolutions	No time registered yet	No time registered yet	1	Exact	Realm Revolutions	764030	NA	NA	NA	NA	NA	NA	NA	NA	NA	206	NA	NA	NA	NA	NA	NA
Champions Online	Champions Online	370	0	1	Exact	Champions Online	9880	NA	NA	NA	NA	NA	NA	NA	NA	NA	199	NA	NA	NA	NA	NA	NA
Realm Grinder	Realm Grinder	95	2386	1	Exact	Realm Grinder	610080	NA	NA	NA	NA	NA	NA	NA	NA	NA	187	NA	NA	NA	NA	NA	NA
DARK SOULS: Prepare To Die Edition	Dark Souls: Prepare to Die Edition	46	104	1	Exact	DARK SOULS™: Prepare To Die Edition	211420	NA	NA	NA	NA	NA	NA	NA	NA	NA	180	NA	NA	NA	NA	NA	NA
Icewind Dale: Enhanced Edition	Icewind Dale: Enhanced Edition	32	59	1	Exact	Icewind Dale: Enhanced Edition	321800	NA	NA	NA	NA	NA	NA	NA	NA	NA	167	NA	NA	NA	NA	NA	NA
Cell to Singularity - Evolution Never Ends	Cell to Singularity - Evolution Never Ends	8	120	1	Exact	Cell to Singularity - Evolution Never Ends	977400	NA	NA	NA	NA	NA	NA	NA	NA	NA	162	NA	NA	NA	NA	NA	NA
DPS IDLE	DPS IDLE	No time registered yet	No time registered yet	1	Exact	DPS IDLE	1349540	NA	NA	NA	NA	NA	NA	NA	NA	NA	161	NA	NA	NA	NA	NA	NA
Pixel Puzzles Ultimate	Pixel Puzzles Ultimate	12	1778	1	Exact	Pixel Puzzles Ultimate	351030	NA	NA	NA	NA	NA	NA	NA	NA	NA	158	NA	NA	NA	NA	NA	NA
Magic: The Gathering  Duels of the Planeswalkers 2012	Magic: The Gathering - Duels of the Planeswalkers 2012	14	62	0.98	Exact	Magic: The Gathering — Duels of the Planeswalkers 2012	49470	NA	NA	NA	NA	NA	NA	NA	NA	NA	151	NA	NA	NA	NA	NA	NA
Tap Tap Infinity	Tap Tap Infinity	19	285	1	Exact	Tap Tap Infinity	380360	NA	NA	NA	NA	NA	NA	NA	NA	NA	151	NA	NA	NA	NA	NA	NA
Idle Wizard	Idle Wizard	0	4800	1	Exact	Idle Wizard	992070	NA	NA	NA	NA	NA	NA	NA	NA	NA	145	NA	NA	NA	NA	NA	NA
Idle Wasteland	Idle Wasteland	No time registered yet	No time registered yet	1	Exact	Idle Wasteland	1658620	NA	NA	NA	NA	NA	NA	NA	NA	NA	144	NA	NA	NA	NA	NA	NA
Territory Idle	Territory Idle	750	2000	1	Exact	Territory Idle	1017100	NA	NA	NA	NA	NA	NA	NA	NA	NA	142	NA	NA	NA	NA	NA	NA
Melvor Idle	Melvor Idle	No time registered yet	No time registered yet	1	Exact	Melvor Idle	1267910	NA	NA	NA	NA	NA	NA	NA	NA	NA	141	NA	NA	NA	NA	NA	NA
Baldur's Gate: Enhanced Edition	Baldur's Gate: Enhanced Edition	30	90	0.97	Exact	Baldur's Gate: Enhanced Edition	228280	NA	NA	NA	NA	NA	NA	NA	NA	NA	139	NA	NA	NA	NA	NA	NA
Orcs Must Die! 2	Orcs Must Die! 2	8	42	1	Exact	Orcs Must Die! 2	201790	NA	NA	NA	NA	NA	NA	NA	NA	NA	130	NA	NA	NA	NA	NA	NA
Talisman: Digital Edition	Talisman: Digital Edition	2	100	1	Exact	Talisman: Digital Edition	247000	NA	NA	NA	NA	NA	NA	NA	NA	NA	129	NA	NA	NA	NA	NA	NA
Titan Quest Anniversary Edition	Titan Quest: Anniversary Edition	31	91	0.97	Exact	Titan Quest Anniversary Edition	475150	NA	NA	NA	NA	NA	NA	NA	NA	NA	125	NA	NA	NA	NA	NA	NA
Sol Survivor	Sol Survivor	9	0	1	Exact	Sol Survivor	45000	NA	NA	NA	NA	NA	NA	NA	NA	NA	124	NA	NA	NA	NA	NA	NA
Magic: The Gathering - Duels of the Planeswalkers	Magic: The Gathering - Duels of the Planeswalkers	8	126	1	Exact	Magic: The Gathering - Duels of the Planeswalkers	49400	NA	NA	NA	NA	NA	NA	NA	NA	NA	113	NA	NA	NA	NA	NA	NA
Test Drive Unlimited 2	Test Drive Unlimited 2	28	137	1	Exact	Test Drive Unlimited 2	9930	NA	NA	NA	NA	NA	NA	NA	NA	NA	111	NA	NA	NA	NA	NA	NA
Idle Slayer	Idle Slayer	No time registered yet	No time registered yet	1	Exact	Idle Slayer	1353300	NA	NA	NA	NA	NA	NA	NA	NA	NA	110	NA	NA	NA	NA	NA	NA
Tap Heroes	Tap Heroes	47	201	1	Exact	Tap Heroes	371570	NA	NA	NA	NA	NA	NA	NA	NA	NA	109	NA	NA	NA	NA	NA	NA
The Elder Scrolls V: Skyrim	The Elder Scrolls V: Skyrim	34	232	1	Exact	The Elder Scrolls V: Skyrim	72850	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA
Just Cause 2	Just Cause 2	18	87	1	Exact	Just Cause 2	8190	NA	NA	NA	NA	NA	NA	NA	NA	NA	98	NA	NA	NA	NA	NA	NA
Dungeon Defenders	Dungeon Defenders	14	377	1	Exact	Dungeon Defenders	65800	NA	NA	NA	NA	NA	NA	NA	NA	NA	98	NA	NA	NA	NA	NA	NA
CryptoClickers: Crypto Idle Game	CryptoClickers: Crypto Idle Game	No time registered yet	No time registered yet	1	Exact	CryptoClickers: Crypto Idle Game	1313580	NA	NA	NA	NA	NA	NA	NA	NA	NA	96	NA	NA	NA	NA	NA	NA
RetroArch	NA	NA	NA	NA	NA	RetroArch	1118310	NA	NA	NA	NA	NA	NA	NA	NA	NA	95	NA	NA	NA	NA	NA	NA
Saints Row: The Third	Saints Row: The Third	15	45	1	Exact	Saints Row: The Third	55230	NA	NA	NA	NA	NA	NA	NA	NA	NA	93	NA	NA	NA	NA	NA	NA
LOGistICAL: Earth	LOGistICAL 3: Earth	No time registered yet	No time registered yet	0.89	Non Exact	LOGistICAL: Earth	672150	NA	NA	NA	NA	NA	NA	NA	NA	NA	92	NA	NA	NA	NA	NA	NA
Rise of Nations: Extended Edition	Rise of Nations: Extended Edition	19	80	1	Exact	Rise of Nations: Extended Edition	287450	NA	NA	NA	NA	NA	NA	NA	NA	NA	91	NA	NA	NA	NA	NA	NA
PAYDAY: The Heist	Payday: The Heist	10	46	1	Exact	PAYDAY: The Heist	24240	NA	NA	NA	NA	NA	NA	NA	NA	NA	90	NA	NA	NA	NA	NA	NA
Valheim	Valheim	72	134	1	Exact	Valheim	892970	NA	NA	NA	NA	NA	NA	NA	NA	NA	85	NA	NA	NA	NA	NA	NA
Grim Clicker	Grim Clicker	180	0	1	Exact	Grim Clicker	1160750	NA	NA	NA	NA	NA	NA	NA	NA	NA	79	NA	NA	NA	NA	NA	NA
Divinity: Original Sin (Classic)	Divinity: Original Sin	66	110	1	Exact	Divinity: Original Sin (Classic)	230230	NA	NA	NA	NA	NA	NA	NA	NA	NA	79	NA	NA	NA	NA	NA	NA
Zero IDLE	NA	NA	NA	NA	NA	Zero IDLE	1236240	NA	NA	NA	NA	NA	NA	NA	NA	NA	79	NA	NA	NA	NA	NA	NA
Borderlands GOTY	Borderlands: Game of the Year	22	82	0.55	Non Exact	Borderlands GOTY	8980	NA	NA	NA	NA	NA	NA	NA	NA	NA	72	NA	NA	NA	NA	NA	NA
Crusaders of the Lost Idols	Crusaders of the Lost Idols	23	2283	1	Exact	Crusaders of the Lost Idols	402840	NA	NA	NA	NA	NA	NA	NA	NA	NA	72	NA	NA	NA	NA	NA	NA
LOGistICAL	LOGistICAL	132	0	1	Exact	LOGistICAL	573060	NA	NA	NA	NA	NA	NA	NA	NA	NA	70	NA	NA	NA	NA	NA	NA
Garry's Mod	Garry's Mod	56	595	0.91	Non Exact	Garry's Mod	4000	NA	NA	NA	NA	NA	NA	NA	NA	NA	69	NA	NA	NA	NA	NA	NA
Shonen Idle Z	Shonen Idle Z	0	453	1	Exact	Shonen Idle Z	492800	NA	NA	NA	NA	NA	NA	NA	NA	NA	68	NA	NA	NA	NA	NA	NA
Underworld Idle	NA	NA	NA	NA	NA	Underworld Idle	1540960	NA	NA	NA	NA	NA	NA	NA	NA	NA	68	NA	NA	NA	NA	NA	NA
Last Dream	Last Dream	42	0	1	Exact	Last Dream	266230	NA	NA	NA	NA	NA	NA	NA	NA	NA	67	NA	NA	NA	NA	NA	NA
Idle Bouncer	Idle Bouncer	No time registered yet	No time registered yet	1	Exact	Idle Bouncer	697610	NA	NA	NA	NA	NA	NA	NA	NA	NA	63	NA	NA	NA	NA	NA	NA
