Name	Positive_rating	Played_time..h.	Time_to_finish..h.	Developer	Release_date
Satellite Reign	71.3	5.18	21	5 Lives Studios	27-Aug-2015
Snake Pass	79.2	5.18	5	Sumo Digital	28-Mar-2017
ICEY	90.6	5.18	3	FantaBlade Network	17-Nov-2016
Prison Architect	90.2	5.17	17	Double Eleven, Introversion Software	06-Oct-2015
FOTONICA	88	5.17	2	Santa Ragione	06-Nov-2014
Final Slam 2	22.2	5.17	0	Josh Tam Universe	12-Jun-2014
Carmageddon: Reincarnation	75.9	5.15	18	Stainless Games Ltd	NA
Sine Mora EX	65.2	5.12	3	Digital Reality, Grasshopper Manufacture, Gyroscope Games	08-Aug-2017
Borderlands: The Pre-Sequel	81.2	5.12	18	2K Australia, Gearbox Software, Aspyr (Linux)	16-Oct-2014
Moon Hunters	78.9	5.12	2	Kitfox Games	10-Mar-2016
City of Chains	72.6	5.12	8	Astronomic Games	08-Dec-2015
Slime Rancher	97.9	5.12	14	Monomi Park	01-Aug-2017
Overgrowth	78.9	5.1	3	Wolfire Games	16-Oct-2017
FINAL FANTASY X/X-2 HD Remaster	90.7	5.1	51	Square Enix	12-May-2016
They Bleed Pixels	83.6	5.08	9	Spooky Squid Games Inc.	29-Aug-2012
Elements: Soul of Fire	49.5	5.08	70	Soul Catapult	12-Jan-2015
Red Faction Guerrilla Re-Mars-tered	80.5	5.05	11	Volition, KAIKO	03-Jul-2018
Double Dragon Trilogy	55.4	5.05	1	Dotemu	15-Jan-2015
Aviary Attorney	94.8	5.05	4	Sketchy Logic	21-Dec-2015
Sakura Magical Girls	73.2	5.05	2	Winged Cloud	23-Feb-2017
Interplanetary: Enhanced Edition	85.1	5.05	4	Team Jolly Roger	02-Aug-2017
The Warlock of Firetop Mountain	75.2	5.03	3	Tin Man Games	30-Aug-2016
Disney Pirates of the Caribbean: At Worlds End	76.8	5.03	6	 Eurocom Entertainment Software	06-Oct-2014
Mystery Masters: Psycho Train Deluxe Edition	69.5	5.03	3	Alawar	NA
Hard Reset Redux	81.2	5.03	6	Flying Wild Hog	03-Jun-2016
Cities: Skylines	93.3	5.03	26	Colossal Order Ltd.	10-Mar-2015
Tower Defense Ultimate	78.1	5.03	No time registered yet	Dev4play	NA
ZOMBI	64.3	5.02	12	Straight Right	18-Aug-2015
Maze Lord	78.3	5.02	4	Jetdogs Studios	17-Jun-2016
Counter-Strike: Global Offensive	88.7	5	54	Valve, Hidden Path Entertainment	21-Aug-2012
Depth Hunter 2: Deep Dive	74.1	5	2	Biart Company LLC	20-Aug-2014
Zup! X	97	5	1	Quiet River	17-May-2018
Zombie Army Trilogy	87.4	4.98	14	Rebellion	06-Mar-2015
State of Mind	79.1	4.98	10	Daedalic Entertainment	15-Aug-2018
Subterrain	77.3	4.97	49	Pixellore Inc	21-Jan-2016
Sniper Elite 4	90.8	4.97	11	Rebellion	13-Feb-2017
Sakura Beach	79.7	4.95	3	Winged Cloud	14-Aug-2015
Nex Machina	87.2	4.93	2	Housemarque	20-Jun-2017
Who Wants To Be A Millionaire? Special Editions	NA	4.92	1		NA
Dead Rising 2	78.1	4.92	14	Capcom Vancouver	27-Sep-2010
SOMA	96	4.9	9	Frictional Games	21-Sep-2015
Spellblast	60	4.9	No time registered yet	Tonal Recall Games	NA
Fran Bow	97.2	4.88	8	Killmonday Games AB	27-Aug-2015
Shiness: The Lightning Kingdom	57.9	4.88	16	Enigami	18-Apr-2017
Age of Empires II (2013)	95.7	4.87	31	Skybox Labs, Hidden Path Entertainment, Ensemble Studios, Forgotten Empires	09-Apr-2013
The Long Dark	91.1	4.83	21	Hinterland Studio Inc.	01-Aug-2017
Fly Away	100	4.83	NA	Faceless Studios	20-Mar-2017
Retro City Rampage™ DX	88.2	4.82	6	Vblank Entertainment, Inc.	11-Nov-2014
Disney Epic Mickey 2	76.4	4.8	9	Junction Point	06-Oct-2014
Trine 2	95.6	4.78	8	Frozenbyte	06-Jun-2013
SpeedRunners	93.9	4.78	2	DoubleDutch Games	19-Apr-2016
A Boy and His Blob	68	4.78	10	Abstraction Games, WayForward	19-Jan-2016
DARK SOULS™ III	94.1	4.78	32	FromSoftware, Inc.	11-Apr-2016
Battle Chef Brigade	96.4	4.78	9	Trinket Studios	20-Nov-2017
Sakura Agent	72.4	4.78	3	Winged Cloud	27-Jan-2017
Evergarden	86.3	4.78	8	Flippfly LLC	16-Aug-2018
Shadow Ninja: Apocalypse	59.2	4.77	1	Boogygames Studios	16-Nov-2015
Slay the Spire	97.9	4.77	12	Mega Crit Games	23-Jan-2019
Blackguards 2	66.3	4.75	16	Daedalic Entertainment	20-Jan-2015
Star Drifter	46.7	4.75	No time registered yet	Nostalgia Hound, PiGravity	01-Jun-2016
Dead Pixels	86.8	4.73	2	CSR-Studios	07-Dec-2012
Dino Run DX	93.6	4.73	2	Pixeljam	29-Sep-2015
Ascendant	77.6	4.73	No time registered yet	Hapa Games	13-May-2014
Super Mustache	72.9	4.73	1	Redro Games	27-Jan-2016
Out of the Park Baseball 18	91.8	4.73	275	Out of the Park Developments	24-Mar-2017
Gaben Kingdom	76.1	4.73	No time registered yet	Mariusz Gibas	NA
Eaten Alive	35.7	4.72	No time registered yet	Space Cat Studios	30-Sep-2015
Survival Zombies The Inverted Evolution	57.7	4.72	1	Racing Bros	08-May-2017
Super Space Pug	54.4	4.72	0	Digital Dawn Studios	04-Jun-2016
Super Mega Neo Pug	83.9	4.72	1	SnowFlame, Back To Basics Gaming	11-May-2016
Pool Nation	89.7	4.7	10	Cherry Pop Games	18-Oct-2013
Primal Carnage: Extinction	82.6	4.7	No time registered yet	Circle Five Studios, Pub Games	03-Apr-2015
Incitement 3	65.8	4.7	24	Astronomic Games	19-Aug-2015
Mafia III: Definitive Edition	56.8	4.7	25	Hangar 13, Aspyr (Mac)	19-May-2020
SEGA Mega Drive & Genesis Classics	84.7	4.68	8	D3T Limited	01-Jun-2010
Divide by Sheep	90.9	4.68	5	Victor Solodilov, Denis Novikov	02-Jul-2015
Deadly 30	75.8	4.68	4	Ignatus Zuk and Gonzalo Villagomez	08-Jan-2014
Luna Sky	43.9	4.68	No time registered yet	Vovoid Media Technologies AB	02-Oct-2015
Cyber City 2157: The Visual Novel	55.2	4.68	1	Harotobira	04-May-2016
Jet Racing Extreme	68	4.67	No time registered yet	Real Dynamics	17-May-2018
Zup! 6	94.5	4.67	1	Quiet River	19-Sep-2017
Rocking Pilot	95.7	4.67	No time registered yet	Gungrounds, Mad Head Games	15-May-2017
Baba Is You	98	4.67	7	Hempuli Oy	13-Mar-2019
Super Hexagon	96.8	4.65	5	Terry Cavanagh	27-Nov-2012
TowerFall Ascension	94.8	4.65	4	Extremely OK Games, Ltd.	11-Mar-2014
Septerra Core	74.5	4.65	44		27-Sep-2013
Evolve Stage 2	69.8	4.65	6	Turtle Rock Studios	10-Feb-2015
Doodle God	76.6	4.65	4	JoyBits Ltd.	24-Sep-2015
To The Capital	66.1	4.65	1	Kormishenkov Anton	28-Dec-2016
Sid Meier's Civilization V	96.1	4.63	40	Firaxis Games, Aspyr (Mac), Aspyr (Linux)	23-Sep-2010
Poker Night at the Inventory	89.4	4.63	3	Telltale Games	22-Nov-2010
Guns'N'Zombies	69.5	4.63	3	Krealit	30-Oct-2014
The Room	97.8	4.63	3	Fireproof Games	28-Jul-2014
Silence	84.5	4.63	6	Daedalic Entertainment	15-Nov-2016
Space Run Galaxy	64.6	4.63	40	Passtech Games	17-Jun-2016
Castle of no Escape	64.3	4.63	1	Xitilon, Esdeer	22-Jun-2017
Renowned Explorers: International Society	92	4.62	5	Abbey Games	02-Sep-2015
Carmageddon 2: Carpocalypse Now	87.8	4.62	12	Stainless Games Ltd	19-Sep-2014
TRON 2.0	90.5	4.62	12	Monolith Productions, Inc.	10-Oct-2014
Firewatch	88.8	4.62	4	Campo Santo	09-Feb-2016
Sakura Swim Club	85.4	4.62	2	Winged Cloud	11-Sep-2015
Sakura Nova	86.2	4.62	2	Winged Cloud	20-Oct-2016
Strategic War in Europe	43.3	4.6	No time registered yet	Wastelands Interactive	21-Mar-2014
Sentinels of the Multiverse	89.8	4.6	3	Handelabra Games Inc.	22-Dec-2014
Just Cause 3	82.8	4.6	18	Avalanche Studios	30-Nov-2015
HIVESWAP: ACT 1	92.9	4.6	2	What Pumpkin Games, Inc.	14-Sep-2017
Broforce	97.1	4.58	7	Free Lives	15-Oct-2015
Kero Blaster	93.9	4.58	3	Studio Pixel	11-Nov-2015
DarkBase 01	8.2	4.58	2	Nothing To See Here	NA
Dungeon of Zolthan	77.1	4.58	1	Robert Alvarez	11-May-2016
Shuyan Saga	84.1	4.58	3	Lofty Sky Entertainment Inc.	08-Aug-2017
PAC-MAN Championship Edition DX+	95.6	4.57	4	Mine Loader Software Co., Ltd.	24-Sep-2013
Real Boxing™	64	4.57	4	Vivid Games S.A.	02-Jul-2014
Warmachine Tactics	44	4.57	29	WhiteMoon Dreams	20-Nov-2014
The Apotheosis Project	62.4	4.57	4	Midian Design	10-Jul-2015
GOD EATER 2 Rage Burst	78.2	4.57	56	BANDAI NAMCO Studio, SHIFT, QLOC	29-Aug-2016
Mini Metro	96.2	4.55	6	Dinosaur Polo Club	06-Nov-2015
Escape Dead Island	62.2	4.55	6	Fatshark	20-Nov-2014
WASTED	76.4	4.55	14	Mr. Podunkian	07-Jun-2016
Mythic Wonders: The Philosopher's Stone	87.9	4.55	3	Organic 2 Digital Studio	21-Apr-2016
Legends of the Universe - StarCore	79.8	4.55	0	LunarCore Games	25-Jul-2016
Lionheart	64.7	4.55	No time registered yet	Shiisanmei	31-Jul-2017
Turbo Pug 3D	68.3	4.55	1	Wulo Games, DEADBIT	20-Sep-2016
Tales of Berseria	92	4.55	44	BANDAI NAMCO Studios Inc.	26-Jan-2017
CHUCHEL	82.2	4.55	2	Amanita Design	07-Mar-2018
Warhammer 40,000: Mechanicus	92.1	4.55	19	Bulwark Studios	15-Nov-2018
THE KING OF FIGHTERS XIII STEAM EDITION	90.6	4.53	3	SNK CORPORATION	13-Sep-2013
Batman™: Arkham Origins	88.3	4.53	12	WB Games Montreal, Splash Damage	24-Oct-2013
GemCraft - Chasing Shadows	95.9	4.53	49	Game in a Bottle	30-Apr-2015
Black The Fall	78.1	4.53	3	Sand Sailor Studio	11-Jul-2017
Blackbay Asylum	55.4	4.53	5	TAD Productions AB	01-Aug-2014
Flockers	76.2	4.53	0	Team17 Digital Ltd	19-Sep-2014
Dead Age	82.1	4.53	19	Silent Dreams	04-Nov-2016
Offworld Trading Company	76.7	4.53	9	Mohawk Games	28-Apr-2016
Hearts of Iron IV	91.9	4.53	49	Paradox Development Studio	06-Jun-2016
Aaero	83.4	4.53	2	Mad Fellows	11-Apr-2017
Jade's Journey	56.7	4.53	No time registered yet	Warfare Studios	09-Dec-2016
Styx: Shards of Darkness	82.7	4.53	12	Cyanide Studio	14-Mar-2017
Sweet fantasy	83	4.53	1	Salamandra88	04-Apr-2017
Bear With Me - Collector's Edition	85.2	4.53	7	Exordium Games	08-Feb-2018
Ticket to Ride	90.9	4.52	1	Days of Wonder	24-May-2012
Resident Evil	92.6	4.52	7	CAPCOM Co., Ltd.	19-Jan-2015
Monster Puzzle	56.4	4.52	No time registered yet	Flynn's Arcade	08-Dec-2016
Nongünz	60.2	4.52	20	Brainwash Gang	19-May-2017
Yakuza 0	95.4	4.52	31	Ryu Ga Gotoku Studio	01-Aug-2018
Rampage Knights	92.7	4.5	7	Rake in Grass	04-Sep-2015
Sakura Beach 2	76.7	4.5	2	Winged Cloud	06-Nov-2015
Outlast 2	91.2	4.5	7	Red Barrels	24-Apr-2017
Darksiders Warmastered Edition	87.2	4.48	17	KAIKO, Vigil Games	29-Nov-2016
Layers of Fear (2016)	89	4.48	3	Bloober Team SA	15-Feb-2016
Make America Great Again: The Trump Presidency	86.5	4.48	0	Maverick Game Studio	26-Sep-2016
Out of the Park Baseball 17	91.5	4.47	No time registered yet	Out of the Park Developments	22-Mar-2016
Nyan Cat: Lost In Space	92.8	4.47	0	isTom Games Kft.	04-Dec-2015
Ken Follett's The Pillars of the Earth	92.8	4.47	15	Daedalic Entertainment	15-Aug-2017
Darkestville Castle	93.5	4.47	5	Epic Llama Games	21-Sep-2017
AXYOS	51.6	4.45	0	Axyos Games	01-Aug-2018
Alice in Wonderland	69.7	4.45	8	Etranges Libellules Studios	06-Oct-2014
Hand of Fate	89.7	4.45	11	Defiant Development	17-Feb-2015
Watch_Dogs	74.3	4.45	19	Ubisoft	26-May-2014
Falcon Gold	82.1	4.45	No time registered yet	Spectrum Holobyte	08-Jan-2016
Falcon 4.0	85.3	4.45	No time registered yet	MicroProse Software	08-Jan-2016
Kingdom: New Lands	86.5	4.45	10	Noio	09-Aug-2016
Remothered: Tormented Fathers	74.7	4.45	6	Stormind Games	30-Jan-2018
Big Pharma	77	4.43	27	Twice Circled	27-Aug-2015
Shiftlings	73.2	4.43	16	Rock Pocket Games	03-Mar-2015
Tricky Towers	90.6	4.43	9	WeirdBeard	02-Aug-2016
Alex Hunter - Lord of the Mind	79.8	4.42	5	Alawar	NA
Murder Miners	86.2	4.42	0	JForce Games	25-Jul-2014
2064: Read Only Memories	79.6	4.42	9	MidBoss, LLC.	06-Oct-2015
Atonement: Scourge of Time	70.7	4.42	0	Astronomic Games	16-Jul-2015
Cursed Castilla (Maldita Castilla EX)	85.7	4.42	4	Locomalito, Gryzor87	20-Oct-2016
Husk	43.6	4.42	4	UndeadScout	03-Feb-2017
Two Worlds II HD	62	4.4	7	Reality Pump Studios	03-Feb-2011
Orwell	91	4.4	5	Osmotic Studios	27-Oct-2016
Drayt Empire	49.4	4.4	No time registered yet	RPG Video	16-Jul-2016
Sword of Asumi	73.5	4.38	2	Dharker Studio	08-Jan-2015
Star Chronicles: Delta Quadrant	59.5	4.38	0	Alister Software	07-Jul-2015
Risky Rescue	77.4	4.38	1	Digital Melody	19-Feb-2016
Stone Age Wars	67	4.38	4	Permafrost Studio	09-Jan-2017
Strider	82.9	4.37	5	Double Helix Games, Capcom	19-Feb-2014
Artificial Defense	83	4.37	No time registered yet	Thiemo Bolder, ONEMANGAMES	01-Jun-2016
Cosmic Dust & Rust	58	4.37	1	16bit Nights	17-May-2016
Doorways: The Underworld	69.7	4.35	2	Saibot Studios	17-Sep-2014
Middle-earth™: Shadow of Mordor™	92.3	4.35	16	Monolith Productions	30-Sep-2014
Neon Chrome	91.8	4.35	5	10tons Ltd	28-Apr-2016
Calcu-Late	58.6	4.35	1	Blazing Fanfish	18-Mar-2016
Trine	95.9	4.33	6	Frozenbyte	02-Jul-2009
Adventure Time: The Secret Of The Nameless Kingdom	74.9	4.33	10	WayForward	NA
Oddworld: New 'n' Tasty	86.8	4.33	7	Just Add Water (Developments), Ltd.	25-Feb-2015
PulseCharge	50.3	4.33	No time registered yet	Frozenmerk Games	27-Jan-2016
Infinifactory	94.9	4.32	35	Zachtronics	30-Jun-2015
Snik	57.3	4.32	0	Cleverweek	04-Sep-2015
Atari Vault	83.1	4.3	No time registered yet	Code Mystics	24-Mar-2016
FINAL FANTASY IX	94.3	4.3	39	Square Enix	14-Apr-2016
Project Starship	83.5	4.3	1	Panda Indie Studio	05-Apr-2016
Figment	87.8	4.3	5	Bedtime Digital Games	22-Sep-2017
The Witcher 2: Assassins of Kings Enhanced Edition	89.5	4.28	24	CD PROJEKT RED	16-Apr-2012
METAL SLUG 3	89.7	4.28	2	SNK CORPORATION, Dotemu	14-Feb-2014
Qasir al-Wasat: International Edition	80	4.28	8	Aduge Studio	19-Jan-2016
Chronicles of a Dark Lord: Episode 1 Tides of Fate Complete	65.6	4.28	18	Kisareth Studios	19-Dec-2014
Portal of Evil: Stolen Runes Collector's Edition	91.7	4.28	4	8Floor	26-May-2015
Western Press	64.2	4.28	1	Bandit-1	21-Apr-2016
Ampersand	32.9	4.28	0	PiGravity	19-Oct-2015
Machine Hunt	50.7	4.28	1	Racing Bros	15-May-2017
Red Bit Ninja	26.7	4.27	No time registered yet	Seven Sails Games	30-Apr-2015
DreadOut: Keepers of The Dark	79.4	4.27	4	Digital Happiness	24-Mar-2016
VA-11 Hall-A: Cyberpunk Bartender Action	97.6	4.27	11	Sukeban Games	21-Jun-2016
Outrage	62.2	4.27	2	Astronomic Games	06-Apr-2016
Sakura Shrine Girls	75.6	4.27	2	Winged Cloud	26-Aug-2016
RUSSIA BATTLEGROUNDS	77.8	4.25	No time registered yet	Agafonoff	13-Jul-2018
Unhack	85.8	4.23	1	InvertMouse	09-Jan-2015
Planet of the Eyes	83.5	4.23	1	Cococucumber	24-Aug-2015
Power of Love	67.8	4.23	No time registered yet	Yang Sun	21-Jul-2015
Turbo Pug DX	77.9	4.23	1	SnowFlame, Back To Basics Gaming	26-Sep-2016
Rocket League	88.6	4.22	5	Psyonix LLC	06-Jul-2015
BioShock 2 Remastered	68.3	4.22	11	2K Marin, 2K China, Digital Extremes, 2K Australia, Blind Squirrel, Feral Interactive (Mac)	15-Sep-2016
Mega Man Legacy Collection	86.5	4.22	16	Capcom	24-Aug-2015
Rabiez: Epidemic	43.5	4.22	0	Sekerin Productions	04-Mar-2016
Catch a Falling Star	73.3	4.22	1	Alister Software	30-Mar-2016
Project CARS	78.9	4.2	35	Slightly Mad Studios	06-May-2015
Lost Castle	88	4.2	13	Hunter Studio	31-Aug-2016
Neon Hardcorps	45.6	4.2	No time registered yet	Sergey Dovganovskiy	30-May-2016
Sins Of The Demon RPG	84.1	4.2	9	Chandler Rounsley	13-May-2016
Damned	70.5	4.18	0	9heads Game Studios	06-Oct-2014
DanceWall Remix	78.6	4.18	No time registered yet	Extreme Reality	NA
INSIDE	96.6	4.18	4	Playdead	07-Jul-2016
Drive Megapolis	39.1	4.18	1	npp_trainer	24-Aug-2016
Interloper	84.6	4.17	1	Monogon Games	21-May-2015
Elements II: Hearts of Light	59.6	4.17	No time registered yet	Soul Catapult	01-Apr-2016
Chroma Squad	93.1	4.15	13	Behold Studios	30-Apr-2015
HuniePop	96.3	4.15	9	HuniePot	19-Jan-2015
CAFE 0 ~The Drowned Mermaid~	63.9	4.15	1	ROSEVERTE MYSTERY	29-Jan-2015
Staxel	79.6	4.15	33	Plukit	11-Apr-2019
SQUAKE	66.7	4.15	No time registered yet	On5	01-Feb-2017
Murderous Pursuits	63.6	4.15	No time registered yet	Blazing Griffin	26-Apr-2018
Disney Planes	83.6	4.13	4	Behaviour Interactive	06-Oct-2014
Teddy Floppy Ear - Kayaking	76.9	4.13	1	Forever Entertainment S. A.	16-Jan-2015
Rise of the Tomb Raider	94	4.13	13	Crystal Dynamics, Eidos-Montréal, Feral Interactive (Mac), Feral Interactive (Linux), Nixxes	09-Feb-2016
Dead by Daylight	80	4.12	63	Behaviour Interactive Inc.	14-Jun-2016
Zombie Night Terror	93	4.12	12	NoClip	20-Jul-2016
Turbo Pug	90.8	4.12	1	Space Cat Studios, SnowFlame, Back To Basics Gaming	09-Nov-2015
Dead6hot	45.2	4.12	No time registered yet	Chuck Productions	01-Feb-2016
Reset 1-1	64.9	4.12	1	Panda Indie Studio	30-Aug-2016
ShapeShifter	51.3	4.12	No time registered yet	PRORTUS	07-Jul-2016
Fallen Enchantress: Legendary Heroes	74.6	4.1	12	Stardock Entertainment	22-May-2013
CONSORTIUM 2014	71.9	4.1	NA	Interdimensional Games Inc	08-Jan-2014
QuestRun	53	4.1	11	Cuve Games	18-Apr-2014
Sakura Angels	83.7	4.1	3	Winged Cloud	16-Jan-2015
Hollow Knight	97.2	4.1	27	Team Cherry	24-Feb-2017
Shift	77	4.1	1	Black Lime Studio	16-Aug-2016
Strike Vector	67.6	4.08	No time registered yet	Ragequit Corporation	28-Jan-2014
HunieCam Studio	87.1	4.08	2	HuniePot	04-Apr-2016
Sundered: Eldritch Edition	82.7	4.08	12	Thunder Lotus Games	28-Jul-2017
ONE PIECE PIRATE WARRIORS 3	80.1	4.07	16	KOEI TECMO GAMES CO., LTD.	27-Aug-2015
The Surge	75.4	4.07	21	Deck13	15-May-2017
Scythe: Digital Edition	89.9	4.07	2	The Knights of Unity	05-Sep-2018
A Story About My Uncle	91.8	4.05	3	Gone North Games	28-May-2014
Grim Fandango Remastered	90.5	4.05	11	Double Fine Productions, Shiny Shoe	26-Jan-2015
Shark Attack Deathmatch 2	76	4.05	3	Lighthouse Games Studio	26-Jul-2019
Trouble In The Manor	56	4.05	No time registered yet	Charyb Games	17-Nov-2015
Day of the Tentacle Remastered	96.9	4.05	5	Double Fine Productions, Shiny Shoe	21-Mar-2016
DUCATI - 90th Anniversary	70.8	4.05	11	Milestone S.r.l.	09-Jun-2016
RiME	90.3	4.05	6	Tequila Works, QLOC	26-May-2017
Mahluk:Dark demon	64.4	4.05	No time registered yet	Serkan Bakar	19-Jul-2016
Regions Of Ruin	87.2	4.05	10	Gameclaw Studio	05-Feb-2018
Fortified	75.6	4.05	5	Siege Camp	03-Feb-2016
Sniper Elite	77.1	4.03	13	Rebellion	16-Jul-2009
STARWHAL	88.8	4.03	1	Breakfall	29-Sep-2014
Sniper Elite 3	82.1	4.03	9	Rebellion	27-Jun-2014
Sakura Spirit	78.4	4.03	3	Winged Cloud	09-Jul-2014
Lakeview Cabin Collection	93.2	4.03	9	Roope Tamminen	09-Apr-2015
Cook, Serve, Delicious! 2!!	89.4	4.03	26	Vertigo Gaming Inc.	13-Sep-2017
Bleed 2	95.7	4.03	1	Ian Campbell	08-Feb-2017
SimplePlanes	93	4.03	5	Jundroo, LLC	17-Dec-2015
The Jackbox Party Pack 2	95.9	4.03	6	Jackbox Games, Inc.	13-Oct-2015
System Shock: Enhanced Edition	90	4.03	13	Looking Glass Studios, Nightdive Studios	22-Oct-2015
Wizard of Legend	91.1	4.03	7	Contingent99	15-May-2018
The Darkside Detective	95	4.03	4	Spooky Doorway	27-Jul-2017
State of Anarchy	85.2	4.03	1	Lapovich	27-Apr-2016
Laraan	48.5	4.03	1	Flynn's Arcade	11-Jan-2017
Warriors of Vilvatikta	49.7	4.03	No time registered yet	RPG Video	26-Aug-2016
The New Queen	56.5	4.03	No time registered yet	Warfare Studios	13-Jan-2017
The Inner World: The Last Wind Monk	90.4	4.03	7	Studio Fizbin	20-Oct-2017
Garry's Mod	96.7	4.02	54	Facepunch Studios	29-Nov-2006
The Bard's Tale	76.3	4.02	14	inXile Entertainment	11-Dec-2009
Pixel Piracy	65.5	4.02	8	Vitali Kirpu	31-Jul-2014
Guardians of Victoria	25.6	4.02	No time registered yet	Tall Story Studios	29-Apr-2016
Tinboy	62.6	4.02	3	Interactive Stone	31-Aug-2015
Melting Hearts: Our Love Will Grow 2	58.1	4.02	No time registered yet	John Wizard	29-Apr-2016
Pirate Pop Plus	64.1	4.02	2	dadako	04-Nov-2016
Red Comrades 3: Return of Alaska. Reloaded	81.6	4.02	6	Buka Development, Saturn Plus	07-Nov-2017
Beyond Eyes	67.1	4	2	Tiger and Squid, Team17 Digital Ltd	11-Aug-2015
Zup! 7	95.6	4	1	Quiet River	12-Dec-2017
Power-Up	57.8	3.98	0	Psychotic Psoftware	29-Aug-2014
The Final Station	86.7	3.98	5	DO MY BEST	30-Aug-2016
Oddworld: Munch's Oddysee	76.9	3.97	12	Oddworld Inhabitants	20-Dec-2010
Planets Under Attack	72.7	3.97	6	Targem Games	27-Sep-2012
State of Decay: Year-One	81	3.97	17	Undead Labs	27-Apr-2015
AI: Rampage	37.7	3.97	0	Sekerin Productions	27-Jan-2016
Slingshot people	47.5	3.97	1	StalkerAlex	21-Oct-2016
Passpartout: The Starving Artist	87.8	3.97	4	Flamebait Games	06-Jun-2017
OR	35.8	3.97	No time registered yet	Camagames	08-Feb-2017
Papers, Please	97.1	3.95	5	Lucas Pope	08-Aug-2013
School Bus Fun	67.4	3.95	3	Fancy Bytes, Reactor	03-Jul-2014
Bit Blaster XL	96.6	3.95	3	Adamvision Studios	22-Jan-2016
140	92.7	3.93	1	Carlsen Games	16-Oct-2013
Stonerid	65.8	3.93	No time registered yet	Enitvare	15-Aug-2014
Surgeon Simulator	82.3	3.92	3	Bossa Studios	19-Apr-2013
Gunpoint	97.5	3.92	3	Suspicious Developments	03-Jun-2013
Poi	91	3.92	6	PolyKid	01-Feb-2017
Deadly Sin 2	86.2	3.9	15	Dancing Dragon Games	12-May-2014
Action Henk	88.6	3.9	4	RageSquid	11-May-2015
METAL GEAR SOLID V: THE PHANTOM PAIN	91.1	3.9	46	Konami Digital Entertainment	01-Sep-2015
Shadow Tactics: Blades of the Shogun	96.2	3.9	25	Mimimi Games	06-Dec-2016
Shank	89.9	3.88	3	Klei Entertainment	25-Oct-2010
Carmageddon: Max Damage	77.4	3.88	15	Stainless Games Ltd	27-Oct-2016
GOD EATER RESURRECTION	75.8	3.88	32	BANDAI NAMCO Studio, SHIFT, QLOC	NA
Broken Dreams	70.7	3.88	1	Mihai Morosanu	19-Feb-2016
Slime-san	85.7	3.88	9	Fabraz	07-Apr-2017
Mirror 2: Project X	25.8	3.88	3	KAGAMI Ⅱ WORKs	20-Jan-2022
Styx: Master of Shadows	82.9	3.87	17	Cyanide Studio	07-Oct-2014
Cube Destroyer	85.3	3.87	0	Freedomize Studio	15-Feb-2016
Pesadelo - Regressão	68.1	3.85	No time registered yet	Skyjaz Games	10-Feb-2016
Beastiarium	50.8	3.85	1	Fazan	05-Dec-2016
Orcs Must Die!	96.4	3.83	8	Robot Entertainment	11-Oct-2011
100% Orange Juice	92.9	3.83	7	Orange_Juice	16-May-2014
Hentai Girl	91.2	3.83	0	GirlGames	17-Aug-2018
Dustforce	87.8	3.82	34	Hitbox Team	17-Jan-2012
Party Hard	89.4	3.82	6	Pinokl Games, Kverta	25-Aug-2015
Gorky 17	79.1	3.8	10		27-Sep-2013
Day One: Garry's Incident	19.3	3.8	3	Wild Games Studio	NA
FX Football - The Manager for Every Football Fan	44.6	3.8	NA	FX Interactive	31-Jan-2014
Furi	90.9	3.8	6	The Game Bakers	05-Jul-2016
Wargame: Red Dragon	89.3	3.78	124	Eugen Systems	17-Apr-2014
Questerium: Sinister Trinity HD	79.5	3.78	3	URSE Games	15-Jan-2015
HoPiKo	74.6	3.78	5	Laser Dog	06-Jan-2017
PAC-MAN 256	92.3	3.78	4	BANDAI NAMCO Studios Vancouver, Hipster Whale, 3 Sprockets	21-Jun-2016
Quantum Break	85.6	3.78	10	Remedy Entertainment	29-Sep-2016
One Finger Death Punch 2	96.6	3.78	11	Silver Dollar Games	15-Apr-2019
Deadly Premonition: The Director's Cut	67.1	3.77	18	Rising Star Games	29-Oct-2013
Fahrenheit: Indigo Prophecy Remastered	80.4	3.77	8	Aspyr, Quantic Dream (original release)	28-Jan-2015
Screencheat	91.7	3.77	3	Samurai Punk	21-Oct-2014
Randal's Monday	77.3	3.77	14	Nexus Game Studios	12-Nov-2014
The Tower Of Elements	57.4	3.77	No time registered yet	Wulo Games	05-Aug-2015
Starward Rogue	91.9	3.77	3	Arcen Games, LLC	20-Jan-2016
Holodrive	78.9	3.77	No time registered yet	BitCake Studio	16-Mar-2021
Mahjong Deluxe 2: Astral Planes	51.1	3.77	0	EnsenaSoft	20-Jul-2016
Dementium II HD	47.5	3.75	5	Memetic Games	17-Dec-2013
DreadOut	76.3	3.75	4	Digital Happiness	15-May-2014
Dark Arcana: The Carnival	89.1	3.75	3	Artifex Mundi	28-Oct-2014
Deathtrap	83.9	3.75	11	NeocoreGames	04-Feb-2015
METAL SLUG X	88.4	3.75	1	SNK CORPORATION, Dotemu	02-Oct-2014
The Vanishing of Ethan Carter	88.6	3.75	4	The Astronauts	25-Sep-2014
Symphony	84.2	3.73	8	Empty Clip Studios	06-Aug-2012
Stikbold!	88	3.72	2	Game Swing	01-Apr-2016
Star Fields	47.4	3.72	No time registered yet	AG media	06-Aug-2016
