Name	Positive_rating	Played_time..h.	Time_to_finish..h.	Developer	Release_date
BattleBlock Theater	97.3	12.6	10	The Behemoth	15-May-2014
Awesomenauts	84.7	12.53	12	Ronimo Games	01-Aug-2012
Goodbye Deponia	88.9	12.52	10	Daedalic Entertainment	17-Oct-2013
Castle Crashers	96.3	12.22	7	The Behemoth	26-Sep-2012
Genital Jousting	91.9	11.7	2	Free Lives	18-Jan-2018
POSTAL 2	96.3	11.63	7	Running With Scissors	14-Apr-2003
DRAGON BALL FighterZ	90.4	11.63	12	Arc System Works	26-Jan-2018
Broken Sword 3 - the Sleeping Dragon	56.9	11.25	10	Revolution Software Ltd	02-Dec-2009
DuckTales Remastered	87.4	11.23	4	WayForward	13-Aug-2013
Resident Evil Revelations	86	11.2	8	Capcom	23-May-2013
Teslagrad	84.8	11.05	5	Rain Games	13-Dec-2013
Hell Yeah!	85.6	10.75	7	Arkedo	03-Oct-2012
Dead Island Definitive Edition	81.8	10.48	17	Techland	31-May-2016
Super Daryl Deluxe	87.9	10.48	19	Dan &amp; Gary Games	10-Apr-2018
Magicka	88.3	10.33	10	Arrowhead Game Studios	25-Jan-2011
Crash Bandicoot™ N. Sane Trilogy	92.8	10.27	15	Vicarious Visions, Iron Galaxy	29-Jun-2018
Shovel Knight: Treasure Trove	96.1	10.22	7	Yacht Club Games	26-Jun-2014
Football Manager 2017	59.2	10.2	217	Sports Interactive	03-Nov-2016
Second Sight	81.4	10.2	9	Free Radical Design	08-Apr-2021
Comedy Night	75.1	10.05	1	Lighthouse Games Studio	24-Aug-2017
The Room Three	96.4	9.97	5	Fireproof Games	13-Nov-2018
Planescape: Torment: Enhanced Edition	95.1	9.97	32	Beamdog	11-Apr-2017
99 Spirits	59.6	9.92	13	TORaIKI	12-Nov-2013
Conan Exiles	78.4	9.9	33	Funcom	08-May-2018
Sherlock Holmes: The Devil's Daughter	79.5	9.87	10	Frogwares	10-Jun-2016
Supraball	77.5	9.78	No time registered yet	Supra Games	08-Feb-2019
Holy Potatoes! A Weapon Shop?!	72	9.63	11	Daylight Studios	13-Jul-2015
Reign Of Kings	57.1	9.6	No time registered yet	Code}{atch	15-Dec-2015
Injustice: Gods Among Us Ultimate Edition	85.9	9.57	5	NetherRealm Studios, High Voltage Software	29-Nov-2013
Left 4 Dead 2	97.5	9.53	10	Valve	16-Nov-2009
Chaos on Deponia	90.7	9.43	10	Daedalic Entertainment	06-Nov-2012
GRID Autosport	77.8	9.43	34	Codemasters Racing, Feral Interactive (Mac), Feral Interactive (Linux)	26-Jun-2014
Worms W.M.D	84.7	9.42	14	Team17	23-Aug-2016
Resident Evil 7 Biohazard	95	9.42	9	CAPCOM Co., Ltd.	23-Jan-2017
Deponia	87.5	9.28	8	Daedalic Entertainment	06-Aug-2012
Solo	83.9	9.22	3	Team Gotham	26-Apr-2018
Dead Rising	88.3	9.15	12	Capcom	12-Sep-2016
Sonic & All-Stars Racing Transformed Collection	94	9.12	7	Sumo Digital	31-Jan-2013
Football Manager 2016	68.4	9.08	271	SPORTS INTERACTIVE	NA
The Sims™ 3	86.6	9.03	50	The Sims Studio	27-Jan-2011
Gauntlet™	81	8.98	6	Arrowhead Game Studios	23-Sep-2014
8-Bit Adventures 1: The Forgotten Journey Remastered Edition	83.5	8.93	0	Critical Games	22-May-2015
Soul Axiom	72.5	8.9	13	Wales Interactive	29-Feb-2016
GRIS	96.6	8.87	4	Nomada Studio	13-Dec-2018
Turok 2: Seeds of Evil	91.8	8.82	11	Iguana Entertainment, Nightdive Studios	16-Mar-2017
Abyss Odyssey	62.6	8.78	4	ACE Team	15-Jul-2014
Call of Duty: Black Ops III	82.3	8.75	9	Treyarch, Aspyr (Mac)	05-Nov-2015
Blade Symphony	65.8	8.63	0	Puny Human	07-May-2014
Sid Meier's Civilization VI	85	8.63	23	Firaxis Games, Aspyr (Mac), Aspyr (Linux)	20-Oct-2016
Lost Ark	71.8	8.63	46	Smilegate RPG	NA
Serious Sam 3: BFE	88.4	8.6	10	Croteam	22-Nov-2011
Little Nightmares	94.7	8.57	4	Tarsier Studios	27-Apr-2017
Angry Birds Space	90.3	8.52	5	Rovio Entertainment Ltd	NA
OVERKILL's The Walking Dead	51.6	8.45	9	OVERKILL - a Starbreeze Studio.	NA
Citizens of Earth	76	8.33	14	Eden Industries	20-Jan-2015
Gunman Clive	88.2	8.32	1	Hörberg Productions	03-Jan-2014
Dragon's Dogma: Dark Arisen	89.9	8.22	33	Capcom	15-Jan-2016
Pillars of Eternity	88.1	8.2	36	Obsidian Entertainment	26-Mar-2015
Call of Duty: WWII	66.8	8.18	7	Sledgehammer Games, Raven Software	02-Nov-2017
Double Dragon Neon	77.5	8.12	4	WayForward, Abstraction Games	06-Feb-2014
Guts and Glory	79.9	8.12	5	HakJak	19-Jul-2018
RUNNING WITH RIFLES	88.1	8.1	20	Osumia Games	02-Apr-2015
Broken Sword 2 - the Smoking Mirror: Remastered	89.9	8.07	7	Revolution Software Ltd	02-Dec-2009
Gods Will Be Watching	70.9	8.07	6	Deconstructeam	24-Jul-2014
GALAK-Z	73.3	8.07	9	17-BIT	29-Oct-2015
Batman™: Arkham Knight	85.4	8.05	16	Rocksteady Studios	23-Jun-2015
God Mode	70.3	8.03	9	Old School Games	19-Apr-2013
Shantae: Risky's Revenge - Director's Cut	85.5	8.03	5	WayForward	15-Jul-2014
Minion Masters	91.1	8.03	4	BetaDwarf	24-May-2019
Split/Second	79.8	8	10	Black Rock Studio	06-Oct-2014
Alan Wake	90.9	7.98	11	Remedy Entertainment	16-Feb-2012
