Name	Positive_rating	Played_time..h.	Time_to_finish..h.	Developer	Release_date
Moon Hunters	79	5.1	2	Kitfox Games	10-Mar-2016
Borderlands: The Pre-Sequel	81.1	5.1	18	2K Australia, Gearbox Software, Aspyr (Linux)	16-Oct-2014
Sine Mora EX	65.6	5.1	3	Digital Reality, Grasshopper Manufacture, Gyroscope Games	08-Aug-2017
City of Chains	72.4	5.1	8	Astronomic Games	08-Dec-2015
Slime Rancher	97.9	5.1	14	Monomi Park	01-Aug-2017
Overgrowth	78.6	5.1	3	Wolfire Games	16-Oct-2017
FINAL FANTASY X/X-2 HD Remaster	90.7	5.1	50	Square Enix	12-May-2016
They Bleed Pixels	83.6	5.1	9	Spooky Squid Games Inc.	29-Aug-2012
Elements: Soul of Fire	49.5	5.1	70	Soul Catapult	12-Jan-2015
Red Faction Guerrilla Re-Mars-tered	80.3	5.1	11	Volition, KAIKO	03-Jul-2018
Aviary Attorney	94.8	5.1	5	Sketchy Logic	21-Dec-2015
Interplanetary: Enhanced Edition	85	5.1	4	Team Jolly Roger	02-Aug-2017
Double Dragon Trilogy	55.5	5.1	1	Dotemu	15-Jan-2015
Sakura Magical Girls	73.5	5.1	2	Winged Cloud	23-Feb-2017
Cities: Skylines	93.3	5	26	Colossal Order Ltd.	10-Mar-2015
The Warlock of Firetop Mountain	75.7	5	3	Tin Man Games	30-Aug-2016
Hard Reset Redux	81.3	5	6	Flying Wild Hog	03-Jun-2016
Disney Pirates of the Caribbean: At Worlds End	76.9	5	6	 Eurocom Entertainment Software	06-Oct-2014
Tower Defense Ultimate	78.1	5	No time registered yet	Dev4play	NA
Mystery Masters: Psycho Train Deluxe Edition	69.5	5	3	Alawar	NA
ZOMBI	64.2	5	12	Straight Right	18-Aug-2015
Maze Lord	78.2	5	4	Jetdogs Studios	17-Jun-2016
Counter-Strike: Global Offensive	88.4	5	55	Valve, Hidden Path Entertainment	21-Aug-2012
Zup! X	97	5	1	Quiet River	17-May-2018
Depth Hunter 2: Deep Dive	74.2	5	2	Biart Company LLC	20-Aug-2014
Zombie Army Trilogy	87.5	5	14	Rebellion	06-Mar-2015
State of Mind	79.4	5	10	Daedalic Entertainment	15-Aug-2018
Sniper Elite 4	90.7	5	10	Rebellion	13-Feb-2017
Subterrain	77.4	5	49	Pixellore Inc	21-Jan-2016
Sakura Beach	79.6	5	3	Winged Cloud	14-Aug-2015
Nex Machina	87.6	4.9	2	Housemarque	20-Jun-2017
Dead Rising 2	78	4.9	14	Capcom Vancouver	27-Sep-2010
Who Wants To Be A Millionaire? Special Editions	NA	4.9	0		NA
Spellblast	60	4.9	No time registered yet	Tonal Recall Games	NA
SOMA	95.9	4.9	9	Frictional Games	21-Sep-2015
Fran Bow	97.1	4.9	8	Killmonday Games AB	27-Aug-2015
Shiness: The Lightning Kingdom	58	4.9	16	Enigami	18-Apr-2017
Age of Empires II (2013)	95.7	4.9	31	Skybox Labs, Hidden Path Entertainment, Ensemble Studios, Forgotten Empires	09-Apr-2013
Forza Horizon 4	89	4.8	14	Playground Games	09-Mar-2021
The Long Dark	91.2	4.8	21	Hinterland Studio Inc.	01-Aug-2017
Fly Away	100	4.8	NA	Faceless Studios	20-Mar-2017
Retro City Rampage™ DX	88.2	4.8	5	Vblank Entertainment, Inc.	11-Nov-2014
Disney Epic Mickey 2	75.2	4.8	9	Junction Point	06-Oct-2014
Battle Chef Brigade	96.6	4.8	9	Trinket Studios	20-Nov-2017
SpeedRunners	93.9	4.8	2	DoubleDutch Games	19-Apr-2016
Trine 2	95.6	4.8	8	Frozenbyte	06-Jun-2013
A Boy and His Blob	68	4.8	10	Abstraction Games, WayForward	19-Jan-2016
Sakura Agent	72.7	4.8	3	Winged Cloud	27-Jan-2017
Evergarden	86.1	4.8	8	Flippfly LLC	16-Aug-2018
DARK SOULS™ III	94.1	4.8	32	FromSoftware, Inc.	11-Apr-2016
Shadow Ninja: Apocalypse	59.5	4.8	1	Boogygames Studios	16-Nov-2015
Slay the Spire	97.9	4.8	11	Mega Crit Games	23-Jan-2019
Star Drifter	46.2	4.8	No time registered yet	Nostalgia Hound, PiGravity	01-Jun-2016
Blackguards 2	66.2	4.8	13	Daedalic Entertainment	20-Jan-2015
Dino Run DX	93.4	4.7	2	Pixeljam	29-Sep-2015
Super Mustache	72.8	4.7	1	Redro Games	27-Jan-2016
Gaben Kingdom	76.1	4.7	No time registered yet	Mariusz Gibas	NA
Ascendant	77.7	4.7	No time registered yet	Hapa Games	13-May-2014
Out of the Park Baseball 18	91.9	4.7	275	Out of the Park Developments	24-Mar-2017
Dead Pixels	86.7	4.7	2	CSR-Studios	07-Dec-2012
Eaten Alive	35.3	4.7	No time registered yet	Space Cat Studios	30-Sep-2015
Survival Zombies The Inverted Evolution	57.7	4.7	1	Racing Bros	08-May-2017
Super Space Pug	54.2	4.7	0	Digital Dawn Studios	04-Jun-2016
Super Mega Neo Pug	83.9	4.7	1	SnowFlame, Back To Basics Gaming	11-May-2016
Incitement 3	65.1	4.7	24	Astronomic Games	19-Aug-2015
Pool Nation	89.8	4.7	10	Cherry Pop Games	18-Oct-2013
Mafia III: Definitive Edition	56.6	4.7	25	Hangar 13, Aspyr (Mac)	19-May-2020
Primal Carnage: Extinction	82.5	4.7	No time registered yet	Circle Five Studios, Pub Games	03-Apr-2015
Luna Sky	43.9	4.7	No time registered yet	Vovoid Media Technologies AB	02-Oct-2015
Divide by Sheep	90.9	4.7	5	Victor Solodilov, Denis Novikov	02-Jul-2015
SEGA Mega Drive & Genesis Classics	84.9	4.7	9	D3T Limited	01-Jun-2010
Cyber City 2157: The Visual Novel	55.1	4.7	1	Harotobira	04-May-2016
Deadly 30	76	4.7	4	Ignatus Zuk and Gonzalo Villagomez	08-Jan-2014
Rocking Pilot	95.7	4.7	No time registered yet	Gungrounds, Mad Head Games	15-May-2017
Jet Racing Extreme	67.9	4.7	No time registered yet	Real Dynamics	17-May-2018
Baba Is You	98.1	4.7	7	Hempuli Oy	13-Mar-2019
Zup! 6	94.5	4.7	1	Quiet River	19-Sep-2017
Septerra Core	74.5	4.7	44		27-Sep-2013
Super Hexagon	96.8	4.7	5	Terry Cavanagh	27-Nov-2012
Evolve Stage 2	69.7	4.7	No time registered yet	Turtle Rock Studios	10-Feb-2015
Doodle God	76.6	4.7	4	JoyBits Ltd.	24-Sep-2015
TowerFall Ascension	94.7	4.7	4	Extremely OK Games, Ltd.	11-Mar-2014
To The Capital	66.1	4.7	1	Kormishenkov Anton	28-Dec-2016
Space Run Galaxy	64.3	4.6	40	Passtech Games	17-Jun-2016
Sid Meier's Civilization V	96.1	4.6	40	Firaxis Games, Aspyr (Mac), Aspyr (Linux)	23-Sep-2010
Silence	84.7	4.6	6	Daedalic Entertainment	15-Nov-2016
Guns'N'Zombies	69.7	4.6	3	Krealit	30-Oct-2014
The Room	97.8	4.6	3	Fireproof Games	28-Jul-2014
Castle of no Escape	62.7	4.6	1	Xitilon, Esdeer	22-Jun-2017
TRON 2.0	90.2	4.6	12	Monolith Productions, Inc.	10-Oct-2014
Carmageddon 2: Carpocalypse Now	87.8	4.6	12	Stainless Games Ltd	19-Sep-2014
Sakura Nova	86.6	4.6	2	Winged Cloud	20-Oct-2016
Renowned Explorers: International Society	92.1	4.6	5	Abbey Games	02-Sep-2015
Firewatch	88.8	4.6	4	Campo Santo	09-Feb-2016
Sakura Swim Club	85.5	4.6	2	Winged Cloud	11-Sep-2015
HIVESWAP: ACT 1	92.9	4.6	2	What Pumpkin Games, Inc.	14-Sep-2017
Just Cause 3	82.6	4.6	18	Avalanche Studios	30-Nov-2015
Sentinels of the Multiverse	89.6	4.6	3	Handelabra Games Inc.	22-Dec-2014
Strategic War in Europe	43	4.6	No time registered yet	Wastelands Interactive	21-Mar-2014
Dungeon of Zolthan	77.2	4.6	1	Robert Alvarez	11-May-2016
Broforce	97.1	4.6	7	Free Lives	15-Oct-2015
Shuyan Saga	84.1	4.6	3	Lofty Sky Entertainment Inc.	08-Aug-2017
Kero Blaster	93.6	4.6	3	Studio Pixel	11-Nov-2015
DarkBase 01	8.2	4.6	2	Nothing To See Here	NA
The Apotheosis Project	63.1	4.6	4	Midian Design	10-Jul-2015
Warmachine Tactics	44.1	4.6	29	WhiteMoon Dreams	20-Nov-2014
Real Boxing™	63.8	4.6	4	Vivid Games S.A.	02-Jul-2014
PAC-MAN Championship Edition DX+	95.6	4.6	4	Mine Loader Software Co., Ltd.	24-Sep-2013
GOD EATER 2 Rage Burst	78.1	4.6	56	BANDAI NAMCO Studio, SHIFT, QLOC	29-Aug-2016
Tales of Berseria	92.1	4.6	44	BANDAI NAMCO Studios Inc.	26-Jan-2017
CHUCHEL	82	4.6	2	Amanita Design	07-Mar-2018
Turbo Pug 3D	68.1	4.6	1	Wulo Games, DEADBIT	20-Sep-2016
WASTED	76.2	4.6	14	Mr. Podunkian	07-Jun-2016
Mythic Wonders: The Philosopher's Stone	88.1	4.6	3	Organic 2 Digital Studio	21-Apr-2016
Legends of the Universe - StarCore	79.2	4.6	0	LunarCore Games	25-Jul-2016
Escape Dead Island	62.3	4.6	6	Fatshark	20-Nov-2014
Warhammer 40,000: Mechanicus	92.1	4.6	19	Bulwark Studios	15-Nov-2018
Lionheart	64.7	4.6	No time registered yet	Shiisanmei	31-Jul-2017
Mini Metro	96.5	4.6	6	Dinosaur Polo Club	06-Nov-2015
Dead Age	82	4.5	19	Silent Dreams	04-Nov-2016
Black The Fall	77.9	4.5	3	Sand Sailor Studio	11-Jul-2017
Styx: Shards of Darkness	82.8	4.5	12	Cyanide Studio	14-Mar-2017
Batman™: Arkham Origins	88.2	4.5	12	WB Games Montreal, Splash Damage	24-Oct-2013
Hearts of Iron IV	91.9	4.5	51	Paradox Development Studio	06-Jun-2016
Jade's Journey	52.8	4.5	No time registered yet	Warfare Studios	09-Dec-2016
Flockers	76.9	4.5	0	Team17 Digital Ltd	19-Sep-2014
GemCraft - Chasing Shadows	95.9	4.5	49	Game in a Bottle	30-Apr-2015
Bear With Me - Collector's Edition	85.3	4.5	7	Exordium Games	08-Feb-2018
Offworld Trading Company	76.7	4.5	8	Mohawk Games	28-Apr-2016
Aaero	83.5	4.5	2	Mad Fellows	11-Apr-2017
Sweet fantasy	82.9	4.5	1	Salamandra88	04-Apr-2017
THE KING OF FIGHTERS XIII STEAM EDITION	90.5	4.5	3	SNK CORPORATION	13-Sep-2013
Blackbay Asylum	55.3	4.5	5	TAD Productions AB	01-Aug-2014
Ticket to Ride	90.8	4.5	1	Days of Wonder	24-May-2012
Resident Evil	92.6	4.5	11	CAPCOM Co., Ltd.	19-Jan-2015
Yakuza 0	95.3	4.5	31	Ryu Ga Gotoku Studio	01-Aug-2018
Nongünz	60.5	4.5	20	Brainwash Gang	19-May-2017
Monster Puzzle	56.5	4.5	No time registered yet	Flynn's Arcade	08-Dec-2016
Rampage Knights	92.8	4.5	7	Rake in Grass	04-Sep-2015
Poker Night at the Inventory	89.2	4.5	3	Telltale Games	22-Nov-2010
Sakura Beach 2	76.7	4.5	2	Winged Cloud	06-Nov-2015
Outlast 2	91.1	4.5	7	Red Barrels	24-Apr-2017
Make America Great Again: The Trump Presidency	86.6	4.5	0	Maverick Game Studio	26-Sep-2016
Layers of Fear	89	4.5	3	Bloober Team SA	15-Feb-2016
Darksiders Warmastered Edition	87.1	4.5	17	KAIKO, Vigil Games	29-Nov-2016
Ken Follett's The Pillars of the Earth	92.9	4.5	15	Daedalic Entertainment	15-Aug-2017
Darkestville Castle	93.7	4.5	5	Epic Llama Games	21-Sep-2017
Out of the Park Baseball 17	91.5	4.5	No time registered yet	Out of the Park Developments	22-Mar-2016
Nyan Cat: Lost In Space	92.7	4.5	0	isTom Games Kft.	04-Dec-2015
Remothered: Tormented Fathers	74.9	4.5	6	Stormind Games	30-Jan-2018
Falcon 4.0	84.3	4.5	No time registered yet	Microprose	08-Jan-2016
Falcon Gold	80.8	4.5	No time registered yet	Spectrum Holobyte	08-Jan-2016
Alice in Wonderland	69.2	4.5	9	Etranges Libellules Studios	06-Oct-2014
Kingdom: New Lands	86.7	4.5	9	Noio	09-Aug-2016
Watch_Dogs	74.1	4.5	19	Ubisoft	26-May-2014
AXYOS	51.7	4.5	0	Axyos Games	01-Aug-2018
Hand of Fate	89.8	4.5	11	Defiant Development	17-Feb-2015
Shiftlings	73.2	4.4	16	Rock Pocket Games	03-Mar-2015
Big Pharma	76.8	4.4	27	Twice Circled	27-Aug-2015
Tricky Towers	90.6	4.4	9	WeirdBeard	02-Aug-2016
Murder Miners	86.1	4.4	0	JForce Games	25-Jul-2014
2064: Read Only Memories	79.6	4.4	9	MidBoss, LLC.	06-Oct-2015
Alex Hunter - Lord of the Mind	79.8	4.4	5	Alawar	NA
Atonement: Scourge of Time	70.7	4.4	0	Astronomic Games	16-Jul-2015
Guts and Glory	79.9	4.4	5	HakJak	19-Jul-2018
Husk	43.5	4.4	4	UndeadScout	03-Feb-2017
Cursed Castilla (Maldita Castilla EX)	85.7	4.4	4	Locomalito, Gryzor87	20-Oct-2016
Two Worlds II HD	61.7	4.4	7	Reality Pump Studios	03-Feb-2011
Drayt Empire	49.6	4.4	No time registered yet	RPG Video	16-Jul-2016
Orwell	91.1	4.4	5	Osmotic Studios	27-Oct-2016
Sword of Asumi	73.5	4.4	2	Dharker Studio	08-Jan-2015
Stone Age Wars	68.2	4.4	4	Permafrost Studio	09-Jan-2017
Star Chronicles: Delta Quadrant	59.3	4.4	0	Alister Software	07-Jul-2015
Risky Rescue	77	4.4	1	Digital Melody	19-Feb-2016
Cosmic Dust & Rust	58	4.4	1	16bit Nights	17-May-2016
Artificial Defense	83	4.4	No time registered yet	Thiemo Bolder, ONEMANGAMES	01-Jun-2016
Strider	83	4.4	5	Double Helix Games, Capcom	19-Feb-2014
Neon Chrome	92	4.4	5	10tons Ltd	28-Apr-2016
Middle-earth™: Shadow of Mordor™	92.3	4.4	16	Monolith Productions	30-Sep-2014
Calcu-Late	58.2	4.4	1	Blazing Fanfish	18-Mar-2016
Doorways: The Underworld	69.9	4.4	2	Saibot Studios	17-Sep-2014
Oddworld: New 'n' Tasty	86.8	4.3	7	Just Add Water (Developments), Ltd.	25-Feb-2015
Trine	95.8	4.3	6	Frozenbyte	02-Jul-2009
PulseCharge	50.3	4.3	No time registered yet	Frozenmerk Games	27-Jan-2016
Adventure Time: The Secret Of The Nameless Kingdom	74.9	4.3	10	WayForward	NA
Snik	56.5	4.3	0	Cleverweek	04-Sep-2015
Infinifactory	94.8	4.3	35	Zachtronics	30-Jun-2015
Project Starship	83.7	4.3	1	Panda Indie Studio	05-Apr-2016
FINAL FANTASY IX	94.2	4.3	39	Square Enix	14-Apr-2016
Atari Vault	83.6	4.3	No time registered yet	Code Mystics	24-Mar-2016
Figment	86.5	4.3	5	Bedtime Digital Games	22-Sep-2017
Machine Hunt	51.1	4.3	1	Racing Bros	15-May-2017
METAL SLUG 3	89.6	4.3	2	SNK CORPORATION, Dotemu	14-Feb-2014
The Witcher 2: Assassins of Kings Enhanced Edition	89.5	4.3	24	CD PROJEKT RED	16-Apr-2012
Qasir al-Wasat: International Edition	80	4.3	8	Aduge Studio	19-Jan-2016
Western Press	64.7	4.3	1	Bandit-1	21-Apr-2016
Ampersand	32.7	4.3	0	PiGravity	19-Oct-2015
Portal of Evil: Stolen Runes Collector's Edition	91.9	4.3	4	8Floor	26-May-2015
Chronicles of a Dark Lord: Episode 1 Tides of Fate Complete	66.3	4.3	18	Kisareth Studios	19-Dec-2014
Red Bit Ninja	24.1	4.3	No time registered yet	Seven Sails Games	30-Apr-2015
Outrage	62.2	4.3	2	Astronomic Games	06-Apr-2016
Sakura Shrine Girls	76.2	4.3	2	Winged Cloud	26-Aug-2016
VA-11 Hall-A: Cyberpunk Bartender Action	97.7	4.3	11	Sukeban Games	21-Jun-2016
DreadOut: Keepers of The Dark	79.2	4.3	4	Digital Happiness	24-Mar-2016
RUSSIA BATTLEGROUNDS	77.7	4.3	No time registered yet	Agafonoff	13-Jul-2018
Power of Love	67.8	4.2	No time registered yet	Yang Sun	21-Jul-2015
Unhack	85.7	4.2	1	InvertMouse	09-Jan-2015
Planet of the Eyes	83.3	4.2	1	Cococucumber	24-Aug-2015
Turbo Pug DX	77.9	4.2	1	SnowFlame, Back To Basics Gaming	26-Sep-2016
BioShock 2 Remastered	67.9	4.2	11	2K Marin, 2K China, Digital Extremes, 2K Australia, Blind Squirrel, Feral Interactive (Mac)	15-Sep-2016
Rocket League	88.7	4.2	5	Psyonix LLC	06-Jul-2015
Rabiez: Epidemic	42.4	4.2	0	Sekerin Productions	04-Mar-2016
Mega Man Legacy Collection	86.1	4.2	16	Capcom	24-Aug-2015
Catch a Falling Star	73.3	4.2	1	Alister Software	30-Mar-2016
Lost Castle	88	4.2	14	Hunter Studio	31-Aug-2016
Sins Of The Demon RPG	84.3	4.2	10	Chandler Rounsley	13-May-2016
Neon Hardcorps	45	4.2	No time registered yet	Sergey Dovganovskiy	30-May-2016
Drive Megapolis	39.2	4.2	1	npp_trainer	24-Aug-2016
INSIDE	96.6	4.2	4	Playdead	07-Jul-2016
Damned	70.6	4.2	0	9heads Game Studios	06-Oct-2014
DanceWall Remix	78.6	4.2	No time registered yet	Extreme Reality	NA
Elements II: Hearts of Light	59.3	4.2	No time registered yet	Soul Catapult	01-Apr-2016
Interloper	84.8	4.2	1	Monogon Games	21-May-2015
HuniePop	96.3	4.2	9	HuniePot	19-Jan-2015
CAFE 0 ~The Drowned Mermaid~	64.2	4.2	1	ROSEVERTE MYSTERY	29-Jan-2015
Murderous Pursuits	63.5	4.2	No time registered yet	Blazing Griffin	26-Apr-2018
SQUAKE	66.9	4.2	No time registered yet	On5	01-Feb-2017
Staxel	79.8	4.2	33	Plukit	11-Apr-2019
Chroma Squad	93.1	4.2	13	Behold Studios	30-Apr-2015
Rise of the Tomb Raider	94	4.1	13	Crystal Dynamics, Eidos-Montréal, Feral Interactive (Mac), Feral Interactive (Linux), Nixxes	09-Feb-2016
Disney Planes	82.1	4.1	4	Behaviour Interactive	06-Oct-2014
Teddy Floppy Ear - Kayaking	77.2	4.1	1	Forever Entertainment S. A.	16-Jan-2015
Dead by Daylight	81.6	4.1	61	Behaviour Interactive Inc.	14-Jun-2016
Dead6hot	44.9	4.1	No time registered yet	Chuck Productions	01-Feb-2016
Zombie Night Terror	92.9	4.1	12	NoClip	20-Jul-2016
Turbo Pug	90.8	4.1	1	Space Cat Studios, SnowFlame, Back To Basics Gaming	09-Nov-2015
Reset 1-1	65.2	4.1	1	Panda Indie Studio	30-Aug-2016
ShapeShifter	50.7	4.1	No time registered yet	PRORTUS	07-Jul-2016
Sakura Angels	83.7	4.1	3	Winged Cloud	16-Jan-2015
Shift	75.9	4.1	1	Black Lime Studio	16-Aug-2016
QuestRun	53	4.1	11	Cuve Games	18-Apr-2014
Fallen Enchantress: Legendary Heroes	74.4	4.1	12	Stardock Entertainment	22-May-2013
Hollow Knight	97.2	4.1	27	Team Cherry	24-Feb-2017
CONSORTIUM	71.8	4.1	4	Interdimensional Games Inc	08-Jan-2014
HunieCam Studio	87	4.1	2	HuniePot	04-Apr-2016
Strike Vector	67.5	4.1	No time registered yet	Ragequit Corporation	28-Jan-2014
Sundered: Eldritch Edition	82.9	4.1	12	Thunder Lotus Games	28-Jul-2017
The Surge	75.3	4.1	21	Deck13	15-May-2017
Scythe: Digital Edition	90	4.1	2	The Knights of Unity	05-Sep-2018
ONE PIECE PIRATE WARRIORS 3	80.3	4.1	16	KOEI TECMO GAMES CO., LTD.	27-Aug-2015
Fortified	75.6	4.1	5	Siege Camp	03-Feb-2016
Grim Fandango Remastered	90.4	4.1	11	Double Fine Productions	26-Jan-2015
DUCATI - 90th Anniversary	70.3	4.1	11	Milestone S.r.l.	09-Jun-2016
Regions Of Ruin	87.3	4.1	10	Gameclaw Studio	05-Feb-2018
A Story About My Uncle	91.8	4.1	3	Gone North Games	28-May-2014
Day of the Tentacle Remastered	97	4.1	5	Double Fine Productions	21-Mar-2016
RiME	90.2	4.1	6	Tequila Works, QLOC	26-May-2017
Shark Attack Deathmatch 2	75.9	4.1	3	Lighthouse Games Studio	26-Jul-2019
Trouble In The Manor	56.4	4.1	No time registered yet	Charyb Games	17-Nov-2015
Mahluk:Dark demon	64.8	4.1	No time registered yet	Serkan Bakar	19-Jul-2016
State of Anarchy	85.3	4	1	Lapovich	27-Apr-2016
The Darkside Detective	95.1	4	4	Spooky Doorway	27-Jul-2017
System Shock: Enhanced Edition	90	4	13	Looking Glass Studios, Nightdive Studios	22-Oct-2015
The Jackbox Party Pack 2	95.9	4	6	Jackbox Games, Inc.	13-Oct-2015
Wizard of Legend	91.1	4	7	Contingent99	15-May-2018
Warriors of Vilvatikta	48.6	4	No time registered yet	RPG Video	26-Aug-2016
SimplePlanes	92.9	4	5	Jundroo, LLC	17-Dec-2015
STARWHAL	88.8	4	1	Breakfall	29-Sep-2014
Lakeview Cabin Collection	93.3	4	9	Roope Tamminen	09-Apr-2015
Sakura Spirit	78.5	4	3	Winged Cloud	09-Jul-2014
Sniper Elite	77.2	4	13	Rebellion	16-Jul-2009
Laraan	48.1	4	1	Flynn's Arcade	11-Jan-2017
Sniper Elite 3	82.1	4	9	Rebellion	27-Jun-2014
Bleed 2	95.9	4	1	Ian Campbell	08-Feb-2017
Cook, Serve, Delicious! 2!!	89.4	4	26	Vertigo Gaming Inc.	13-Sep-2017
The New Queen	55	4	No time registered yet	Warfare Studios	13-Jan-2017
The Inner World: The Last Wind Monk	90.1	4	7	Studio Fizbin	20-Oct-2017
Garry's Mod	96.7	4	54	Facepunch Studios	29-Nov-2006
Red Comrades 3: Return of Alaska. Reloaded	81.5	4	4	Buka Development, Saturn Plus	07-Nov-2017
Tinboy	62.8	4	3	Interactive Stone	31-Aug-2015
Pirate Pop Plus	63.6	4	2	dadako	04-Nov-2016
Melting Hearts: Our Love Will Grow 2	58.1	4	No time registered yet	John Wizard	29-Apr-2016
Pixel Piracy	64.7	4	8	Vitali Kirpu	31-Jul-2014
Guardians of Victoria	25.2	4	No time registered yet	Tall Story Studios	29-Apr-2016
The Bard's Tale	76.3	4	14	inXile Entertainment	11-Dec-2009
Zup! 7	95.6	4	1	Quiet River	12-Dec-2017
Beyond Eyes	67.2	4	2	Tiger and Squid, Team17 Digital Ltd	11-Aug-2015
Power-Up	58.4	4	0	Psychotic Psoftware	29-Aug-2014
The Final Station	86.7	4	5	DO MY BEST	30-Aug-2016
State of Decay: Year-One	80.9	4	17	Undead Labs	27-Apr-2015
Planets Under Attack	72.9	4	6	Targem Games	27-Sep-2012
Slingshot people	47.2	4	1	StalkerAlex	21-Oct-2016
Passpartout: The Starving Artist	87.5	4	4	Flamebait Games	06-Jun-2017
OR	35.6	4	No time registered yet	Camagames	08-Feb-2017
Oddworld: Munch's Oddysee	77	4	12	Oddworld Inhabitants	20-Dec-2010
AI: Rampage	37	4	0	Sekerin Productions	27-Jan-2016
Papers, Please	97.1	4	5	Lucas Pope	08-Aug-2013
Bit Blaster XL	96.7	4	3	Adamvision Studios	22-Jan-2016
School Bus Fun	67.4	4	3	Fancy Bytes, Reactor	03-Jul-2014
140	92.7	3.9	1	Carlsen Games	16-Oct-2013
Stonerid	65.6	3.9	No time registered yet	Enitvare	15-Aug-2014
Surgeon Simulator	82.4	3.9	3	Bossa Studios	19-Apr-2013
Gunpoint	97.5	3.9	3	Suspicious Developments	03-Jun-2013
Poi	91.1	3.9	6	PolyKid	01-Feb-2017
Action Henk	88.5	3.9	4	RageSquid	11-May-2015
Deadly Sin 2	86.1	3.9	15	Dancing Dragon Games	12-May-2014
Project CARS	78.9	3.9	33	Slightly Mad Studios	06-May-2015
METAL GEAR SOLID V: THE PHANTOM PAIN	91	3.9	46	Konami Digital Entertainment	01-Sep-2015
Shadow Tactics: Blades of the Shogun	96.2	3.9	25	Mimimi Games	06-Dec-2016
GOD EATER RESURRECTION	75.8	3.9	31	BANDAI NAMCO Studio, SHIFT, QLOC	NA
Carmageddon: Max Damage	77.2	3.9	15	Stainless Games Ltd	27-Oct-2016
Shank	89.8	3.9	3	Klei Entertainment	25-Oct-2010
Slime-san	86.3	3.9	9	Fabraz	07-Apr-2017
Broken Dreams	70.4	3.9	1	Mihai Morosanu	19-Feb-2016
Mirror 2: Project X	26.5	3.9	2	KAGAMI Ⅱ WORKs	20-Jan-2022
Cube Destroyer	85.3	3.9	0	Freedomize Studio	15-Feb-2016
Styx: Master of Shadows	82.9	3.9	17	Cyanide Studio	07-Oct-2014
Pesadelo - Regressão	67.9	3.9	No time registered yet	Skyjaz Games	10-Feb-2016
Beastiarium	50.4	3.9	1	Fazan	05-Dec-2016
Hentai Girl	91.2	3.8	0	GirlGames	17-Aug-2018
100% Orange Juice	93	3.8	7	Orange_Juice	16-May-2014
Orcs Must Die!	96.4	3.8	8	Robot Entertainment	11-Oct-2011
Party Hard	89.2	3.8	6	Pinokl Games, Kverta	25-Aug-2015
Dustforce	87.7	3.8	34	Hitbox Team	17-Jan-2012
Gorky 17	78.9	3.8	10		27-Sep-2013
FX Football - The Manager for Every Football Fan	44.6	3.8	NA	FX Interactive	31-Jan-2014
Day One: Garry's Incident	19.3	3.8	3	Wild Games Studio	NA
Furi	90.9	3.8	6	The Game Bakers	05-Jul-2016
Wargame: Red Dragon	89.2	3.8	124	Eugen Systems	17-Apr-2014
Questerium: Sinister Trinity HD	79	3.8	3	URSE Games	15-Jan-2015
PAC-MAN 256	92.4	3.8	4	BANDAI NAMCO Studios Vancouver, Hipster Whale, 3 Sprockets	21-Jun-2016
One Finger Death Punch 2	96.7	3.8	11	Silver Dollar Games	15-Apr-2019
Quantum Break	85.5	3.8	10	Remedy Entertainment	29-Sep-2016
HoPiKo	75.5	3.8	5	Laser Dog	06-Jan-2017
Fahrenheit: Indigo Prophecy Remastered	80.4	3.8	8	Aspyr, Quantic Dream (original release)	28-Jan-2015
Screencheat	91.8	3.8	3	Samurai Punk	21-Oct-2014
Mahjong Deluxe 2: Astral Planes	51.1	3.8	0	EnsenaSoft	20-Jul-2016
Randal's Monday	77	3.8	14	Nexus Game Studios	12-Nov-2014
Deadly Premonition: The Director's Cut	67.1	3.8	18	Rising Star Games	29-Oct-2013
Starward Rogue	91.9	3.8	3	Arcen Games, LLC	20-Jan-2016
The Tower Of Elements	57.1	3.8	No time registered yet	Wulo Games	05-Aug-2015
Holodrive	79.1	3.8	No time registered yet	BitCake Studio	16-Mar-2021
Deathtrap	83.7	3.8	11	NeocoreGames	04-Feb-2015
Dementium II HD	47.6	3.8	5	Memetic Games	17-Dec-2013
DreadOut	76.3	3.8	4	Digital Happiness	15-May-2014
Dark Arcana: The Carnival	89	3.8	3	Artifex Mundi	28-Oct-2014
METAL SLUG X	88.6	3.8	1	SNK CORPORATION, Dotemu	02-Oct-2014
The Vanishing of Ethan Carter	88.6	3.8	4	The Astronauts	25-Sep-2014
Symphony	84.3	3.7	8	Empty Clip Studios	06-Aug-2012
Pixel Painter	74.3	3.7	No time registered yet	Dio Alias Games	19-Jun-2017
Stikbold!	87.9	3.7	2	Game Swing	01-Apr-2016
Star Fields	44	3.7	No time registered yet	AG media	06-Aug-2016
To the Moon	96.4	3.7	4	Freebird Games	07-Sep-2012
Mini Motor Racing EVO	65	3.7	5	The Binary Mill	NA
Mega Man Legacy Collection 2	87.5	3.7	13	CAPCOM CO., LTD	08-Aug-2017
Sakura Space	77.6	3.7	2	Winged Cloud	10-Oct-2016
Tales of Maj'Eyal	95.6	3.7	38	Netcore Games	12-Dec-2013
Sakura Santa	86.1	3.7	2	Winged Cloud	21-Dec-2015
Nux	39.3	3.7	1	Idigicon	15-Aug-2014
